"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"4-5 private sector","216 Architects and surveyors","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,40500,39100
"4-5 private sector","216 Architects and surveyors","men","post-secondary education 3 years or more (ISCED97 5A)",39400,37800,40400,41600,40900
"4-5 private sector","216 Architects and surveyors","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,37200
"4-5 private sector","216 Architects and surveyors","women","post-secondary education 3 years or more (ISCED97 5A)",37600,37600,39400,40000,39200
"4-5 private sector","216 Architects and surveyors","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","217 Designers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","217 Designers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","217 Designers","men","upper secondary education, 2 years or less (ISCED97 3C)",35500,35100,33200,40000,33900
"4-5 private sector","217 Designers","men","upper secondary education 3 years (ISCED97 3A)",34800,33700,35900,37800,36300
"4-5 private sector","217 Designers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",33400,35500,38300,39700,40000
"4-5 private sector","217 Designers","men","post-secondary education 3 years or more (ISCED97 5A)",35500,37100,37600,39900,41000
"4-5 private sector","217 Designers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","217 Designers","men","no information about level of educational attainment",..,..,..,..,39300
"4-5 private sector","217 Designers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","217 Designers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","217 Designers","women","upper secondary education, 2 years or less (ISCED97 3C)",32300,34100,34800,35500,37400
"4-5 private sector","217 Designers","women","upper secondary education 3 years (ISCED97 3A)",33700,34200,36100,37000,36100
"4-5 private sector","217 Designers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",32300,33000,31200,36100,35800
"4-5 private sector","217 Designers","women","post-secondary education 3 years or more (ISCED97 5A)",32500,34500,34700,35600,36800
"4-5 private sector","217 Designers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","217 Designers","women","no information about level of educational attainment",..,..,34100,34000,32400
"4-5 private sector","218 Specialists within environmental and health protection","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","men","upper secondary education, 2 years or less (ISCED97 3C)",39400,37300,42500,42500,43600
"4-5 private sector","218 Specialists within environmental and health protection","men","upper secondary education 3 years (ISCED97 3A)",38500,36600,36800,..,42100
"4-5 private sector","218 Specialists within environmental and health protection","men","post-secondary education, less than 3 years (ISCED97 4+5B)",39600,40300,41200,42300,40400
"4-5 private sector","218 Specialists within environmental and health protection","men","post-secondary education 3 years or more (ISCED97 5A)",43500,41400,42100,43100,46100
"4-5 private sector","218 Specialists within environmental and health protection","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","women","post-secondary education, less than 3 years (ISCED97 4+5B)",38700,37600,39800,40900,41500
"4-5 private sector","218 Specialists within environmental and health protection","women","post-secondary education 3 years or more (ISCED97 5A)",38200,40600,41200,43700,45000
"4-5 private sector","218 Specialists within environmental and health protection","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","221 Medical doctors","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","221 Medical doctors","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","221 Medical doctors","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","221 Medical doctors","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","221 Medical doctors","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","221 Medical doctors","men","post-secondary education 3 years or more (ISCED97 5A)",..,77700,63200,72400,64300
"4-5 private sector","221 Medical doctors","men","post-graduate education (ISCED97 6)",..,85500,77900,..,79400
"4-5 private sector","221 Medical doctors","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","221 Medical doctors","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","221 Medical doctors","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","221 Medical doctors","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","221 Medical doctors","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","221 Medical doctors","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,36700
"4-5 private sector","221 Medical doctors","women","post-secondary education 3 years or more (ISCED97 5A)",63900,62600,59800,64200,62500
"4-5 private sector","221 Medical doctors","women","post-graduate education (ISCED97 6)",..,78300,72900,74400,78100
"4-5 private sector","221 Medical doctors","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","men","post-secondary education, less than 3 years (ISCED97 4+5B)",38300,41200,40800,..,..
"4-5 private sector","222 Nursing professionals","men","post-secondary education 3 years or more (ISCED97 5A)",35800,36100,37700,44600,48000
"4-5 private sector","222 Nursing professionals","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","women","post-secondary education, less than 3 years (ISCED97 4+5B)",36100,37500,38600,40400,43100
"4-5 private sector","222 Nursing professionals","women","post-secondary education 3 years or more (ISCED97 5A)",34800,35900,37100,42000,45000
"4-5 private sector","222 Nursing professionals","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","men","post-secondary education 3 years or more (ISCED97 5A)",..,34700,37300,37700,40700
"4-5 private sector","223 Nursing professionals (cont.)","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","women","post-secondary education, less than 3 years (ISCED97 4+5B)",35300,36000,36900,37000,39900
"4-5 private sector","223 Nursing professionals (cont.)","women","post-secondary education 3 years or more (ISCED97 5A)",32700,34800,35000,36400,38900
"4-5 private sector","223 Nursing professionals (cont.)","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","223 Nursing professionals (cont.)","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","men","post-secondary education 3 years or more (ISCED97 5A)",43200,38400,39300,37200,40900
"4-5 private sector","224 Psychologists and psychotherapists","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","women","post-secondary education 3 years or more (ISCED97 5A)",35000,37200,37100,36900,41800
"4-5 private sector","224 Psychologists and psychotherapists","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","224 Psychologists and psychotherapists","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","225 Veterinarians","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","men","post-secondary education 3 years or more (ISCED97 5A)",44600,44500,43800,45000,44200
"4-5 private sector","225 Veterinarians","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","225 Veterinarians","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","women","post-secondary education 3 years or more (ISCED97 5A)",40500,39300,40800,43400,41900
"4-5 private sector","225 Veterinarians","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","225 Veterinarians","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","226 Dentists","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","226 Dentists","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","226 Dentists","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","226 Dentists","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","226 Dentists","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","226 Dentists","men","post-secondary education 3 years or more (ISCED97 5A)",41600,43100,45400,47700,47600
"4-5 private sector","226 Dentists","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","226 Dentists","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","226 Dentists","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","226 Dentists","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","226 Dentists","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","226 Dentists","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","226 Dentists","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","226 Dentists","women","post-secondary education 3 years or more (ISCED97 5A)",42400,41900,40900,44500,44700
"4-5 private sector","226 Dentists","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","226 Dentists","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","men","post-secondary education 3 years or more (ISCED97 5A)",32500,32900,31900,31600,29500
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","women","post-secondary education, less than 3 years (ISCED97 4+5B)",30100,31200,30100,32600,34400
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","women","post-secondary education 3 years or more (ISCED97 5A)",30500,29700,30600,31400,33300
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","227 Naprapaths, physiotherapists, occupational therapists","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","men","post-secondary education 3 years or more (ISCED97 5A)",28200,34200,36000,38300,38300
"4-5 private sector","228 Specialists in health care not elsewhere classified","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","women","post-secondary education, less than 3 years (ISCED97 4+5B)",36000,36300,36400,38000,38700
"4-5 private sector","228 Specialists in health care not elsewhere classified","women","post-secondary education 3 years or more (ISCED97 5A)",33600,33200,34000,34800,36600
"4-5 private sector","228 Specialists in health care not elsewhere classified","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","228 Specialists in health care not elsewhere classified","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","men","post-secondary education 3 years or more (ISCED97 5A)",38000,33700,34800,34800,36200
"4-5 private sector","231 University and higher education teachers","men","post-graduate education (ISCED97 6)",48700,49400,50000,52300,52900
"4-5 private sector","231 University and higher education teachers","men","no information about level of educational attainment",40000,40700,38400,43500,42700
"4-5 private sector","231 University and higher education teachers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","231 University and higher education teachers","women","post-secondary education 3 years or more (ISCED97 5A)",31200,29300,31600,33300,35100
"4-5 private sector","231 University and higher education teachers","women","post-graduate education (ISCED97 6)",44000,45200,45400,47200,48900
"4-5 private sector","231 University and higher education teachers","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","men","upper secondary education, 2 years or less (ISCED97 3C)",30700,31900,..,30300,33100
"4-5 private sector","232 Vocational education teachers","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,32100,32100
"4-5 private sector","232 Vocational education teachers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",32400,33300,33200,33200,34700
"4-5 private sector","232 Vocational education teachers","men","post-secondary education 3 years or more (ISCED97 5A)",34800,36200,35000,36000,35000
"4-5 private sector","232 Vocational education teachers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,32300,30500,32900
"4-5 private sector","232 Vocational education teachers","women","post-secondary education 3 years or more (ISCED97 5A)",30600,31000,32100,32200,33900
"4-5 private sector","232 Vocational education teachers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","232 Vocational education teachers","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","men","post-secondary education 3 years or more (ISCED97 5A)",31400,32400,32600,32500,34900
"4-5 private sector","233 Secondary education teachers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","women","post-secondary education 3 years or more (ISCED97 5A)",30300,32000,31500,33300,34800
"4-5 private sector","233 Secondary education teachers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","233 Secondary education teachers","women","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","234 Primary- and pre-school teachers ","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","234 Primary- and pre-school teachers ","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","234 Primary- and pre-school teachers ","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"4-5 private sector","234 Primary- and pre-school teachers ","men","upper secondary education 3 years (ISCED97 3A)",..,23500,23800,25400,25800
"4-5 private sector","234 Primary- and pre-school teachers ","men","post-secondary education, less than 3 years (ISCED97 4+5B)",27200,27600,29300,28000,29100
"4-5 private sector","234 Primary- and pre-school teachers ","men","post-secondary education 3 years or more (ISCED97 5A)",28900,29800,31300,32500,33300
"4-5 private sector","234 Primary- and pre-school teachers ","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","234 Primary- and pre-school teachers ","men","no information about level of educational attainment",26100,29100,28000,28600,..
"4-5 private sector","234 Primary- and pre-school teachers ","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","234 Primary- and pre-school teachers ","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","234 Primary- and pre-school teachers ","women","upper secondary education, 2 years or less (ISCED97 3C)",26300,25400,25500,26400,26900
"4-5 private sector","234 Primary- and pre-school teachers ","women","upper secondary education 3 years (ISCED97 3A)",23700,24000,24800,24800,25700
"4-5 private sector","234 Primary- and pre-school teachers ","women","post-secondary education, less than 3 years (ISCED97 4+5B)",27500,28900,29700,29900,30800
"4-5 private sector","234 Primary- and pre-school teachers ","women","post-secondary education 3 years or more (ISCED97 5A)",28000,29500,30700,31800,33300
"4-5 private sector","234 Primary- and pre-school teachers ","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","234 Primary- and pre-school teachers ","women","no information about level of educational attainment",25500,28500,27600,27900,29700
"4-5 private sector","235 Teaching professionals not elsewhere classified","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","235 Teaching professionals not elsewhere classified","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","235 Teaching professionals not elsewhere classified","men","upper secondary education, 2 years or less (ISCED97 3C)",31900,..,30400,28800,30500
"4-5 private sector","235 Teaching professionals not elsewhere classified","men","upper secondary education 3 years (ISCED97 3A)",..,..,30100,28900,31000
"4-5 private sector","235 Teaching professionals not elsewhere classified","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,31700,30300,31100
"4-5 private sector","235 Teaching professionals not elsewhere classified","men","post-secondary education 3 years or more (ISCED97 5A)",..,34400,31000,33800,34200
"4-5 private sector","235 Teaching professionals not elsewhere classified","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"4-5 private sector","235 Teaching professionals not elsewhere classified","men","no information about level of educational attainment",..,..,..,..,..
"4-5 private sector","235 Teaching professionals not elsewhere classified","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"4-5 private sector","235 Teaching professionals not elsewhere classified","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"4-5 private sector","235 Teaching professionals not elsewhere classified","women","upper secondary education, 2 years or less (ISCED97 3C)",27300,..,28800,27400,28200
"4-5 private sector","235 Teaching professionals not elsewhere classified","women","upper secondary education 3 years (ISCED97 3A)",29900,27500,27500,26700,29100
