"sector","occuptional  (SSYK 2012)","sex","age","2014","2015","2016","2017","2018"
"4-5 private sector","133 Research and development managers","women","35-44 years",56900,59600,57100,59100,60000
"4-5 private sector","133 Research and development managers","women","45-54 years",67000,65300,70600,68100,68900
"4-5 private sector","133 Research and development managers","women","55-64 years",74900,74400,74700,86800,79200
"4-5 private sector","133 Research and development managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","134 Architectural and engineering managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","134 Architectural and engineering managers","men","25-34 years",48800,43200,43600,44600,47300
"4-5 private sector","134 Architectural and engineering managers","men","35-44 years",53600,56200,57400,59100,60500
"4-5 private sector","134 Architectural and engineering managers","men","45-54 years",62500,59800,64400,61100,68000
"4-5 private sector","134 Architectural and engineering managers","men","55-64 years",60700,62700,60900,59300,71000
"4-5 private sector","134 Architectural and engineering managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","134 Architectural and engineering managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","134 Architectural and engineering managers","women","25-34 years",..,..,..,..,..
"4-5 private sector","134 Architectural and engineering managers","women","35-44 years",53600,53600,51600,55800,58200
"4-5 private sector","134 Architectural and engineering managers","women","45-54 years",52200,57800,59000,..,62400
"4-5 private sector","134 Architectural and engineering managers","women","55-64 years",..,..,..,..,65400
"4-5 private sector","134 Architectural and engineering managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","135 Real estate and head of administration manager","men","18-24 years",..,..,..,..,..
"4-5 private sector","135 Real estate and head of administration manager","men","25-34 years",..,..,..,..,..
"4-5 private sector","135 Real estate and head of administration manager","men","35-44 years",61600,..,..,..,56100
"4-5 private sector","135 Real estate and head of administration manager","men","45-54 years",45300,..,..,53600,56900
"4-5 private sector","135 Real estate and head of administration manager","men","55-64 years",44300,52200,..,..,..
"4-5 private sector","135 Real estate and head of administration manager","men","65-66 years",..,..,..,..,..
"4-5 private sector","135 Real estate and head of administration manager","women","18-24 years",..,..,..,..,..
"4-5 private sector","135 Real estate and head of administration manager","women","25-34 years",..,..,..,..,..
"4-5 private sector","135 Real estate and head of administration manager","women","35-44 years",..,..,..,..,..
"4-5 private sector","135 Real estate and head of administration manager","women","45-54 years",..,55200,45900,..,..
"4-5 private sector","135 Real estate and head of administration manager","women","55-64 years",..,..,..,..,..
"4-5 private sector","135 Real estate and head of administration manager","women","65-66 years",..,..,..,..,..
"4-5 private sector","136 Production managers in construction and mining","men","18-24 years",..,..,..,..,..
"4-5 private sector","136 Production managers in construction and mining","men","25-34 years",42600,42600,39700,42100,42100
"4-5 private sector","136 Production managers in construction and mining","men","35-44 years",45400,50800,52300,53400,53900
"4-5 private sector","136 Production managers in construction and mining","men","45-54 years",49600,52300,52200,54300,58000
"4-5 private sector","136 Production managers in construction and mining","men","55-64 years",46200,46600,43800,47100,55300
"4-5 private sector","136 Production managers in construction and mining","men","65-66 years",..,..,..,..,..
"4-5 private sector","136 Production managers in construction and mining","women","18-24 years",..,..,..,..,..
"4-5 private sector","136 Production managers in construction and mining","women","25-34 years",41400,41100,42500,42600,45300
"4-5 private sector","136 Production managers in construction and mining","women","35-44 years",55900,52100,55400,55500,59000
"4-5 private sector","136 Production managers in construction and mining","women","45-54 years",55700,56800,57100,62700,61800
"4-5 private sector","136 Production managers in construction and mining","women","55-64 years",..,..,..,..,..
"4-5 private sector","136 Production managers in construction and mining","women","65-66 years",..,..,..,..,..
"4-5 private sector","137 Production managers in manufacturing","men","18-24 years",..,..,..,..,..
"4-5 private sector","137 Production managers in manufacturing","men","25-34 years",39200,41100,37100,38900,42000
"4-5 private sector","137 Production managers in manufacturing","men","35-44 years",47100,46500,45000,48300,50100
"4-5 private sector","137 Production managers in manufacturing","men","45-54 years",49200,49400,48400,49700,54300
"4-5 private sector","137 Production managers in manufacturing","men","55-64 years",44700,46400,47000,51100,53100
"4-5 private sector","137 Production managers in manufacturing","men","65-66 years",..,..,..,..,..
"4-5 private sector","137 Production managers in manufacturing","women","18-24 years",..,..,..,..,..
"4-5 private sector","137 Production managers in manufacturing","women","25-34 years",..,38100,38200,38200,42300
"4-5 private sector","137 Production managers in manufacturing","women","35-44 years",43800,45900,48700,48900,49900
"4-5 private sector","137 Production managers in manufacturing","women","45-54 years",48300,45600,48000,50500,..
"4-5 private sector","137 Production managers in manufacturing","women","55-64 years",..,..,..,52200,54200
"4-5 private sector","137 Production managers in manufacturing","women","65-66 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","men","25-34 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","men","35-44 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","men","45-54 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","men","55-64 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","women","25-34 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","women","35-44 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","women","45-54 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","women","55-64 years",..,..,..,..,..
"4-5 private sector","138 Forestry and agricultural production managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","141 Primary and secondary schools and adult education managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","141 Primary and secondary schools and adult education managers","men","25-34 years",..,..,..,..,..
"4-5 private sector","141 Primary and secondary schools and adult education managers","men","35-44 years",42900,43800,..,44700,49100
"4-5 private sector","141 Primary and secondary schools and adult education managers","men","45-54 years",..,..,..,..,..
"4-5 private sector","141 Primary and secondary schools and adult education managers","men","55-64 years",..,..,..,..,..
"4-5 private sector","141 Primary and secondary schools and adult education managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","141 Primary and secondary schools and adult education managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","141 Primary and secondary schools and adult education managers","women","25-34 years",..,..,..,..,..
"4-5 private sector","141 Primary and secondary schools and adult education managers","women","35-44 years",41200,40200,44800,46000,46800
"4-5 private sector","141 Primary and secondary schools and adult education managers","women","45-54 years",42800,45000,42900,46200,48900
"4-5 private sector","141 Primary and secondary schools and adult education managers","women","55-64 years",..,..,..,..,..
"4-5 private sector","141 Primary and secondary schools and adult education managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","men","25-34 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","men","35-44 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","men","45-54 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","men","55-64 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","women","25-34 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","women","35-44 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","women","45-54 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","women","55-64 years",..,..,..,..,..
"4-5 private sector","142 Preschool managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","men","18-24 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","men","25-34 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","men","35-44 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","men","45-54 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","men","55-64 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","men","65-66 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","women","18-24 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","women","25-34 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","women","35-44 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","women","45-54 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","women","55-64 years",..,..,..,..,..
"4-5 private sector","149 Education managers not elsewhere classified","women","65-66 years",..,..,..,..,..
"4-5 private sector","151 Health care managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","151 Health care managers","men","25-34 years",..,..,..,..,..
"4-5 private sector","151 Health care managers","men","35-44 years",45100,44900,..,..,48800
"4-5 private sector","151 Health care managers","men","45-54 years",51800,55200,59600,54500,54000
"4-5 private sector","151 Health care managers","men","55-64 years",..,59900,..,..,47300
"4-5 private sector","151 Health care managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","151 Health care managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","151 Health care managers","women","25-34 years",32300,33600,35500,37200,38800
"4-5 private sector","151 Health care managers","women","35-44 years",36900,38700,41100,40000,45100
"4-5 private sector","151 Health care managers","women","45-54 years",43800,44400,48200,48000,49200
"4-5 private sector","151 Health care managers","women","55-64 years",46400,47400,48000,48300,49700
"4-5 private sector","151 Health care managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","men","18-24 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","men","25-34 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","men","35-44 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","men","45-54 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","men","55-64 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","men","65-66 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","women","18-24 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","women","25-34 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","women","35-44 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","women","45-54 years",..,..,..,..,43200
"4-5 private sector","152 Managers in social and curative care","women","55-64 years",..,..,..,..,..
"4-5 private sector","152 Managers in social and curative care","women","65-66 years",..,..,..,..,..
"4-5 private sector","153 Elderly care managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","153 Elderly care managers","men","25-34 years",..,..,..,..,..
"4-5 private sector","153 Elderly care managers","men","35-44 years",..,..,..,..,..
"4-5 private sector","153 Elderly care managers","men","45-54 years",..,..,..,..,..
"4-5 private sector","153 Elderly care managers","men","55-64 years",..,..,..,..,..
"4-5 private sector","153 Elderly care managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","153 Elderly care managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","153 Elderly care managers","women","25-34 years",..,..,..,..,..
"4-5 private sector","153 Elderly care managers","women","35-44 years",37300,40000,40300,..,..
"4-5 private sector","153 Elderly care managers","women","45-54 years",40200,40700,42600,42600,45300
"4-5 private sector","153 Elderly care managers","women","55-64 years",..,..,45300,..,..
"4-5 private sector","153 Elderly care managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","men","18-24 years",..,..,..,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","men","25-34 years",..,..,..,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","men","35-44 years",..,..,..,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","men","45-54 years",..,53600,49200,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","men","55-64 years",52500,54200,56400,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","men","65-66 years",..,..,..,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","women","18-24 years",..,..,..,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","women","25-34 years",..,..,..,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","women","35-44 years",..,..,..,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","women","45-54 years",..,..,..,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","women","55-64 years",52200,54300,56600,..,..
"4-5 private sector","154 Managers and leaders within religious bodies","women","65-66 years",..,..,..,..,..
"4-5 private sector","159 Other social services managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","159 Other social services managers","men","25-34 years",..,38500,39700,..,45000
"4-5 private sector","159 Other social services managers","men","35-44 years",47900,48700,50400,48100,50200
"4-5 private sector","159 Other social services managers","men","45-54 years",48400,50300,52100,56100,56100
"4-5 private sector","159 Other social services managers","men","55-64 years",50400,49100,45900,56100,52700
"4-5 private sector","159 Other social services managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","159 Other social services managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","159 Other social services managers","women","25-34 years",..,..,..,..,..
"4-5 private sector","159 Other social services managers","women","35-44 years",43000,42500,49700,46500,47900
"4-5 private sector","159 Other social services managers","women","45-54 years",48000,46200,46600,50000,53600
"4-5 private sector","159 Other social services managers","women","55-64 years",43700,43400,44500,48800,49000
"4-5 private sector","159 Other social services managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","161 Financial and insurance managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","161 Financial and insurance managers","men","25-34 years",56500,..,54500,54100,55500
"4-5 private sector","161 Financial and insurance managers","men","35-44 years",82400,87700,83800,93200,94700
"4-5 private sector","161 Financial and insurance managers","men","45-54 years",..,87600,102100,116500,119400
"4-5 private sector","161 Financial and insurance managers","men","55-64 years",..,..,..,..,..
"4-5 private sector","161 Financial and insurance managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","161 Financial and insurance managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","161 Financial and insurance managers","women","25-34 years",43400,44400,45600,46700,48800
"4-5 private sector","161 Financial and insurance managers","women","35-44 years",62300,63700,66200,69100,72300
"4-5 private sector","161 Financial and insurance managers","women","45-54 years",67700,71400,75900,77500,82000
"4-5 private sector","161 Financial and insurance managers","women","55-64 years",72300,69400,..,76600,78400
"4-5 private sector","161 Financial and insurance managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","men","25-34 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","men","35-44 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","men","45-54 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","men","55-64 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","women","25-34 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","women","35-44 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","women","45-54 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","women","55-64 years",..,..,..,..,..
"4-5 private sector","171 Hotel and conference managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","172 Restaurant managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","172 Restaurant managers","men","25-34 years",32000,28100,32100,33100,33300
"4-5 private sector","172 Restaurant managers","men","35-44 years",34500,35700,33900,37300,32300
"4-5 private sector","172 Restaurant managers","men","45-54 years",33100,32800,29400,31000,33600
"4-5 private sector","172 Restaurant managers","men","55-64 years",..,..,..,..,..
"4-5 private sector","172 Restaurant managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","172 Restaurant managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","172 Restaurant managers","women","25-34 years",33000,28500,29300,29800,32000
"4-5 private sector","172 Restaurant managers","women","35-44 years",33700,32900,31200,30400,33100
"4-5 private sector","172 Restaurant managers","women","45-54 years",32500,33200,31700,34600,34500
"4-5 private sector","172 Restaurant managers","women","55-64 years",..,..,..,..,..
"4-5 private sector","172 Restaurant managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","173 Retail and wholesale trade managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","173 Retail and wholesale trade managers","men","25-34 years",36100,38500,43900,42300,42100
"4-5 private sector","173 Retail and wholesale trade managers","men","35-44 years",40700,43400,39900,..,49500
"4-5 private sector","173 Retail and wholesale trade managers","men","45-54 years",38900,38300,43000,..,..
"4-5 private sector","173 Retail and wholesale trade managers","men","55-64 years",..,39000,..,..,54600
"4-5 private sector","173 Retail and wholesale trade managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","173 Retail and wholesale trade managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","173 Retail and wholesale trade managers","women","25-34 years",36600,36500,27400,35500,38800
"4-5 private sector","173 Retail and wholesale trade managers","women","35-44 years",..,38700,42000,42100,44100
"4-5 private sector","173 Retail and wholesale trade managers","women","45-54 years",..,45900,..,39100,44100
"4-5 private sector","173 Retail and wholesale trade managers","women","55-64 years",34500,42600,..,..,..
"4-5 private sector","173 Retail and wholesale trade managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","men","18-24 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","men","25-34 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","men","35-44 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","men","45-54 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","men","55-64 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","men","65-66 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","women","18-24 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","women","25-34 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","women","35-44 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","women","45-54 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","women","55-64 years",..,..,..,..,..
"4-5 private sector","174 Sports, leisure and wellness managers","women","65-66 years",..,..,..,..,..
"4-5 private sector","179 Other services managers not elsewhere classified","men","18-24 years",..,..,..,..,..
"4-5 private sector","179 Other services managers not elsewhere classified","men","25-34 years",37800,37800,38900,40100,40100
"4-5 private sector","179 Other services managers not elsewhere classified","men","35-44 years",39600,42100,41700,44400,45200
"4-5 private sector","179 Other services managers not elsewhere classified","men","45-54 years",41900,42300,43000,46700,50100
"4-5 private sector","179 Other services managers not elsewhere classified","men","55-64 years",40400,42100,41200,43300,44300
"4-5 private sector","179 Other services managers not elsewhere classified","men","65-66 years",..,..,..,..,..
"4-5 private sector","179 Other services managers not elsewhere classified","women","18-24 years",..,..,..,..,..
"4-5 private sector","179 Other services managers not elsewhere classified","women","25-34 years",32900,42700,36200,36600,37800
"4-5 private sector","179 Other services managers not elsewhere classified","women","35-44 years",37300,40800,37700,40500,42600
"4-5 private sector","179 Other services managers not elsewhere classified","women","45-54 years",39800,42500,43800,43800,45000
"4-5 private sector","179 Other services managers not elsewhere classified","women","55-64 years",40000,40000,42100,43800,45000
"4-5 private sector","179 Other services managers not elsewhere classified","women","65-66 years",..,..,..,..,..
"4-5 private sector","211 Physicists and chemists","men","18-24 years",..,..,..,..,..
"4-5 private sector","211 Physicists and chemists","men","25-34 years",33900,34500,35000,33200,35300
"4-5 private sector","211 Physicists and chemists","men","35-44 years",43700,43900,45500,46500,45400
"4-5 private sector","211 Physicists and chemists","men","45-54 years",48600,49000,50400,49900,49300
"4-5 private sector","211 Physicists and chemists","men","55-64 years",54600,49700,52800,54800,55400
"4-5 private sector","211 Physicists and chemists","men","65-66 years",..,..,..,..,..
"4-5 private sector","211 Physicists and chemists","women","18-24 years",..,..,..,..,..
"4-5 private sector","211 Physicists and chemists","women","25-34 years",33500,34800,34600,34600,36600
"4-5 private sector","211 Physicists and chemists","women","35-44 years",39900,40600,41500,44400,45300
"4-5 private sector","211 Physicists and chemists","women","45-54 years",45100,46900,47200,50100,48500
"4-5 private sector","211 Physicists and chemists","women","55-64 years",45700,47400,49000,54200,53600
"4-5 private sector","211 Physicists and chemists","women","65-66 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","men","18-24 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","men","25-34 years",41400,39100,42700,43100,46200
"4-5 private sector","212 Mathematicians, actuaries and statisticians","men","35-44 years",58900,58300,61700,60900,67600
"4-5 private sector","212 Mathematicians, actuaries and statisticians","men","45-54 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","men","55-64 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","men","65-66 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","women","18-24 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","women","25-34 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","women","35-44 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","women","45-54 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","women","55-64 years",..,..,..,..,..
"4-5 private sector","212 Mathematicians, actuaries and statisticians","women","65-66 years",..,..,..,..,..
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","men","18-24 years",..,..,..,..,..
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","men","25-34 years",30700,33200,34500,34800,35200
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","men","35-44 years",38000,41500,37900,40200,40600
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","men","45-54 years",40600,44800,39500,40800,43200
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","men","55-64 years",39000,39100,41200,39900,42500
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","men","65-66 years",..,..,..,..,..
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","women","18-24 years",..,..,..,..,..
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","women","25-34 years",33300,33400,34900,32700,32800
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","women","35-44 years",41300,41800,42600,42600,43800
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","women","45-54 years",40200,40600,44700,43500,46500
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","women","55-64 years",45300,48600,47600,47600,48400
"4-5 private sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","women","65-66 years",..,..,..,..,..
"4-5 private sector","214 Engineering professionals","men","18-24 years",28600,29400,27300,30300,30600
"4-5 private sector","214 Engineering professionals","men","25-34 years",35600,36200,36000,36900,37600
"4-5 private sector","214 Engineering professionals","men","35-44 years",43600,44400,44800,45700,47200
"4-5 private sector","214 Engineering professionals","men","45-54 years",47500,47100,48500,49800,51000
"4-5 private sector","214 Engineering professionals","men","55-64 years",48100,47300,50000,50000,52000
"4-5 private sector","214 Engineering professionals","men","65-66 years",..,..,..,..,..
"4-5 private sector","214 Engineering professionals","women","18-24 years",26700,29200,29500,31000,30900
"4-5 private sector","214 Engineering professionals","women","25-34 years",35000,34800,34900,35900,37100
"4-5 private sector","214 Engineering professionals","women","35-44 years",42700,43000,43400,45100,45000
"4-5 private sector","214 Engineering professionals","women","45-54 years",44800,44900,46300,48400,50000
"4-5 private sector","214 Engineering professionals","women","55-64 years",44800,46100,46900,45500,50200
"4-5 private sector","214 Engineering professionals","women","65-66 years",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","men","18-24 years",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","men","25-34 years",32200,33400,33600,33900,34700
"4-5 private sector","216 Architects and surveyors","men","35-44 years",..,38500,40200,39600,40000
"4-5 private sector","216 Architects and surveyors","men","45-54 years",39000,41700,43100,46500,41800
"4-5 private sector","216 Architects and surveyors","men","55-64 years",42000,46100,48900,54100,55900
"4-5 private sector","216 Architects and surveyors","men","65-66 years",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","women","18-24 years",..,..,..,..,..
"4-5 private sector","216 Architects and surveyors","women","25-34 years",34100,31700,33900,34900,33300
"4-5 private sector","216 Architects and surveyors","women","35-44 years",38700,38700,40800,40400,40900
"4-5 private sector","216 Architects and surveyors","women","45-54 years",41900,42100,41000,43900,46300
"4-5 private sector","216 Architects and surveyors","women","55-64 years",..,43600,46900,48100,39600
"4-5 private sector","216 Architects and surveyors","women","65-66 years",..,..,..,..,..
"4-5 private sector","217 Designers","men","18-24 years",..,..,..,..,..
"4-5 private sector","217 Designers","men","25-34 years",30200,33100,31500,33300,34800
"4-5 private sector","217 Designers","men","35-44 years",38500,37000,38800,41500,40100
"4-5 private sector","217 Designers","men","45-54 years",37500,40900,45000,44200,43200
"4-5 private sector","217 Designers","men","55-64 years",38100,40500,38400,41600,37800
"4-5 private sector","217 Designers","men","65-66 years",..,..,..,..,..
"4-5 private sector","217 Designers","women","18-24 years",..,..,..,..,..
"4-5 private sector","217 Designers","women","25-34 years",30200,29600,29500,32400,33200
"4-5 private sector","217 Designers","women","35-44 years",34800,38600,37600,39800,37600
"4-5 private sector","217 Designers","women","45-54 years",34600,34200,36900,38100,39800
"4-5 private sector","217 Designers","women","55-64 years",32000,38200,36100,33100,38300
"4-5 private sector","217 Designers","women","65-66 years",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","men","18-24 years",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","men","25-34 years",..,..,..,37000,40000
"4-5 private sector","218 Specialists within environmental and health protection","men","35-44 years",42400,39600,39500,44300,44700
"4-5 private sector","218 Specialists within environmental and health protection","men","45-54 years",40700,40600,41000,42600,45000
"4-5 private sector","218 Specialists within environmental and health protection","men","55-64 years",44100,43000,43600,45900,42000
"4-5 private sector","218 Specialists within environmental and health protection","men","65-66 years",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","women","18-24 years",..,..,..,..,..
"4-5 private sector","218 Specialists within environmental and health protection","women","25-34 years",32500,34300,34300,35200,36900
"4-5 private sector","218 Specialists within environmental and health protection","women","35-44 years",37700,39900,40800,42600,44500
"4-5 private sector","218 Specialists within environmental and health protection","women","45-54 years",43800,43100,37400,46000,46200
"4-5 private sector","218 Specialists within environmental and health protection","women","55-64 years",..,39400,42600,44900,45500
"4-5 private sector","218 Specialists within environmental and health protection","women","65-66 years",..,..,..,..,..
"4-5 private sector","221 Medical doctors","men","18-24 years",..,..,..,..,..
"4-5 private sector","221 Medical doctors","men","25-34 years",..,49600,46200,..,46600
"4-5 private sector","221 Medical doctors","men","35-44 years",77100,77600,62800,..,66000
"4-5 private sector","221 Medical doctors","men","45-54 years",89300,..,74900,..,..
"4-5 private sector","221 Medical doctors","men","55-64 years",..,79300,70500,..,..
"4-5 private sector","221 Medical doctors","men","65-66 years",..,..,..,..,..
"4-5 private sector","221 Medical doctors","women","18-24 years",..,..,..,..,..
"4-5 private sector","221 Medical doctors","women","25-34 years",47300,44000,44900,..,44900
"4-5 private sector","221 Medical doctors","women","35-44 years",59600,58700,61100,60900,63200
"4-5 private sector","221 Medical doctors","women","45-54 years",..,..,..,75000,..
"4-5 private sector","221 Medical doctors","women","55-64 years",..,..,..,..,68900
"4-5 private sector","221 Medical doctors","women","65-66 years",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","men","18-24 years",..,..,..,..,..
"4-5 private sector","222 Nursing professionals","men","25-34 years",33600,34700,35400,40900,39600
"4-5 private sector","222 Nursing professionals","men","35-44 years",34900,35700,37500,40700,47600
"4-5 private sector","222 Nursing professionals","men","45-54 years",39000,37600,40000,50200,50700
