"sector","occupational group (SSYK)","sex","age","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"0 all sectors","411 Office secretaries and data entry operators","women","18-24 years",15900,17400,16700,18000,18200,19100,20200,18400,20100,19600
"0 all sectors","411 Office secretaries and data entry operators","women","25-34 years",19200,20000,20600,21000,21700,22400,22900,23400,23000,22500
"0 all sectors","411 Office secretaries and data entry operators","women","35-44 years",19900,20500,21100,22100,23000,23400,24000,24600,25200,25800
"0 all sectors","411 Office secretaries and data entry operators","women","45-54 years",20400,21000,21400,22300,22700,24000,24600,24700,25400,25800
"0 all sectors","411 Office secretaries and data entry operators","women","55-64 years",21000,21900,22400,23100,23400,24100,24500,25500,25300,26200
"0 all sectors","412 Numerical clerks","men","18-24 years",17900,..,17900,18300,19800,20500,20500,23700,21000,21100
"0 all sectors","412 Numerical clerks","men","25-34 years",20800,22000,23200,24100,24800,24800,26200,26400,27100,27600
"0 all sectors","412 Numerical clerks","men","35-44 years",21700,23400,24400,25100,27000,27300,28400,29900,30700,31200
"0 all sectors","412 Numerical clerks","men","45-54 years",21700,23500,23700,25200,25500,26200,29800,28700,31900,31300
"0 all sectors","412 Numerical clerks","men","55-64 years",22900,23200,24300,24600,27100,28600,28100,26600,29700,25100
"0 all sectors","412 Numerical clerks","women","18-24 years",18200,18200,18200,18500,20300,20000,19800,20700,22000,20900
"0 all sectors","412 Numerical clerks","women","25-34 years",20400,21100,21700,23000,23500,24300,24000,25900,25400,26200
"0 all sectors","412 Numerical clerks","women","35-44 years",21300,21400,22300,23900,24300,24800,25400,26700,27300,28700
"0 all sectors","412 Numerical clerks","women","45-54 years",21200,21800,22800,23500,24200,24400,25600,25900,27100,27900
"0 all sectors","412 Numerical clerks","women","55-64 years",21200,21200,22500,23400,24100,24700,25600,26300,27000,27500
"0 all sectors","413 Stores and transport clerks","men","18-24 years",19000,18900,19200,20000,21200,21600,21600,21700,23300,23800
"0 all sectors","413 Stores and transport clerks","men","25-34 years",20400,21000,21500,22700,23200,23900,23700,24300,25600,26200
"0 all sectors","413 Stores and transport clerks","men","35-44 years",20900,21600,22500,23400,24400,24700,24700,25800,27700,28000
"0 all sectors","413 Stores and transport clerks","men","45-54 years",20900,21700,22200,23400,24700,25200,25400,26200,27500,27600
"0 all sectors","413 Stores and transport clerks","men","55-64 years",20900,21600,21900,22900,23400,24100,24800,25600,26600,28300
"0 all sectors","413 Stores and transport clerks","women","18-24 years",17700,18100,18000,19900,20200,21500,20800,21700,22900,23700
"0 all sectors","413 Stores and transport clerks","women","25-34 years",19000,19600,20400,22200,22700,22700,22900,24000,25700,26000
"0 all sectors","413 Stores and transport clerks","women","35-44 years",19800,20600,21500,22600,23000,23700,24400,25200,26100,26700
"0 all sectors","413 Stores and transport clerks","women","45-54 years",20200,20400,21200,22000,22700,23900,24400,25100,26500,27000
"0 all sectors","413 Stores and transport clerks","women","55-64 years",19500,20100,20400,21300,23100,23600,24800,24800,25900,26000
"0 all sectors","414 Library and filing clerks","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","414 Library and filing clerks","men","25-34 years",17500,19100,19000,19300,21800,..,..,..,23000,22500
"0 all sectors","414 Library and filing clerks","men","35-44 years",18500,18900,19100,20500,21300,21600,22000,23400,23200,23100
"0 all sectors","414 Library and filing clerks","men","45-54 years",18400,19000,19600,19300,20600,21500,21700,23100,23200,23700
"0 all sectors","414 Library and filing clerks","men","55-64 years",18100,19000,18600,18800,19700,21200,21200,22200,22400,23400
"0 all sectors","414 Library and filing clerks","women","18-24 years",..,..,..,16900,..,..,..,..,..,20100
"0 all sectors","414 Library and filing clerks","women","25-34 years",17900,18900,19500,20600,21400,21000,21200,22200,23100,22400
"0 all sectors","414 Library and filing clerks","women","35-44 years",17700,18400,18800,19600,20500,21100,21500,22000,22300,23300
"0 all sectors","414 Library and filing clerks","women","45-54 years",17900,18300,18900,19900,20400,21100,21800,22000,22600,23000
"0 all sectors","414 Library and filing clerks","women","55-64 years",17900,18500,18900,19700,20400,21200,21700,22200,22700,23300
"0 all sectors","415 Mail carriers and sorting clerks","men","18-24 years",15900,16800,..,..,..,18400,18500,19300,20200,20600
"0 all sectors","415 Mail carriers and sorting clerks","men","25-34 years",17500,18300,..,..,..,20200,20700,21200,21800,21900
"0 all sectors","415 Mail carriers and sorting clerks","men","35-44 years",19500,20400,..,..,..,21600,22200,22900,23200,23400
"0 all sectors","415 Mail carriers and sorting clerks","men","45-54 years",19800,20600,..,..,..,22100,22900,23600,23900,24300
"0 all sectors","415 Mail carriers and sorting clerks","men","55-64 years",19600,20200,..,..,..,22200,23000,23900,24300,24700
"0 all sectors","415 Mail carriers and sorting clerks","women","18-24 years",15800,16900,..,..,..,18600,18800,19300,20200,20600
"0 all sectors","415 Mail carriers and sorting clerks","women","25-34 years",17300,18100,..,..,..,20000,20500,21000,21700,21900
"0 all sectors","415 Mail carriers and sorting clerks","women","35-44 years",18900,19600,..,..,..,21100,21900,22600,22900,22900
"0 all sectors","415 Mail carriers and sorting clerks","women","45-54 years",19200,20000,..,..,..,21700,22500,23300,23600,24000
"0 all sectors","415 Mail carriers and sorting clerks","women","55-64 years",19300,19900,..,..,..,21800,22600,23500,23900,24200
"0 all sectors","419 Other office clerks","men","18-24 years",17200,17600,18200,18400,18700,19200,19200,19200,19200,19600
"0 all sectors","419 Other office clerks","men","25-34 years",20800,21300,22200,22700,24000,24400,25700,25900,26300,26000
"0 all sectors","419 Other office clerks","men","35-44 years",22400,23300,24300,24700,26600,27400,28600,29200,30700,30800
"0 all sectors","419 Other office clerks","men","45-54 years",21900,23000,23800,24400,25300,25900,28100,28000,29500,30600
"0 all sectors","419 Other office clerks","men","55-64 years",22700,23500,24300,24500,25900,25600,27000,27500,26100,28500
"0 all sectors","419 Other office clerks","women","18-24 years",16500,16700,17700,17700,18900,18800,18900,19000,19800,20800
"0 all sectors","419 Other office clerks","women","25-34 years",19300,19700,20800,22100,22400,23500,24000,24400,25100,26500
"0 all sectors","419 Other office clerks","women","35-44 years",19800,20400,21300,22500,23400,23900,24600,25300,26000,26800
"0 all sectors","419 Other office clerks","women","45-54 years",19900,20500,21300,22100,23400,23800,24800,25800,26000,26700
"0 all sectors","419 Other office clerks","women","55-64 years",19200,19900,20600,21400,22800,23400,24700,24900,25300,26300
"0 all sectors","421 Cashiers, tellers and related clerks","men","18-24 years",19500,19100,20300,20500,20300,21400,22200,22100,19600,21000
"0 all sectors","421 Cashiers, tellers and related clerks","men","25-34 years",19800,21100,20800,21800,22300,22900,23000,22400,25000,24000
"0 all sectors","421 Cashiers, tellers and related clerks","men","35-44 years",21100,22400,21800,24000,22800,24100,24800,20700,24500,25800
"0 all sectors","421 Cashiers, tellers and related clerks","men","45-54 years",20200,20800,22200,23100,23900,24600,23000,22800,25900,27200
"0 all sectors","421 Cashiers, tellers and related clerks","men","55-64 years",22000,21800,22300,21900,24900,25400,26200,23400,25700,26300
"0 all sectors","421 Cashiers, tellers and related clerks","women","18-24 years",20000,19600,20100,21000,22500,24000,23000,22200,23200,22000
"0 all sectors","421 Cashiers, tellers and related clerks","women","25-34 years",19900,20000,21200,22000,22900,24400,25300,24000,26000,24800
"0 all sectors","421 Cashiers, tellers and related clerks","women","35-44 years",20600,20300,21300,22600,22100,23900,24600,25000,25200,27200
"0 all sectors","421 Cashiers, tellers and related clerks","women","45-54 years",19900,19800,20400,21100,21800,23800,24200,25300,25300,25400
"0 all sectors","421 Cashiers, tellers and related clerks","women","55-64 years",19200,19700,20200,20800,21500,23200,24200,24500,27200,25200
"0 all sectors","422 Client information clerks","men","18-24 years",16200,17500,17800,17300,18700,20300,19800,19900,20800,21200
"0 all sectors","422 Client information clerks","men","25-34 years",18800,18900,20000,20300,21700,22900,22900,23500,23700,23800
"0 all sectors","422 Client information clerks","men","35-44 years",20300,21100,22000,22400,22900,25300,25100,26700,27800,25700
"0 all sectors","422 Client information clerks","men","45-54 years",20900,21400,21900,22400,23400,24500,25600,27300,28100,27100
"0 all sectors","422 Client information clerks","men","55-64 years",20500,22800,22700,22600,23800,25100,25500,26600,24900,27600
"0 all sectors","422 Client information clerks","women","18-24 years",16300,16700,17000,17500,18700,19300,19400,19800,20100,20900
"0 all sectors","422 Client information clerks","women","25-34 years",18100,18500,19100,19600,20500,21500,21700,22000,22700,23200
"0 all sectors","422 Client information clerks","women","35-44 years",19300,19700,20500,21000,22100,23100,23400,24000,24700,24800
"0 all sectors","422 Client information clerks","women","45-54 years",19500,20000,20800,21100,22500,23000,23600,24100,24700,25300
"0 all sectors","422 Client information clerks","women","55-64 years",19000,19600,20600,21100,21800,22800,23300,23400,24200,24900
"0 all sectors","511 Travel attendants and related workers","men","18-24 years",18800,18000,17600,19200,22600,..,19400,..,23100,..
"0 all sectors","511 Travel attendants and related workers","men","25-34 years",21700,22600,21700,22200,23800,25000,23600,25500,25300,26400
"0 all sectors","511 Travel attendants and related workers","men","35-44 years",21500,22800,23500,23600,25400,28300,26600,26300,27800,28200
"0 all sectors","511 Travel attendants and related workers","men","45-54 years",22200,24500,25100,25200,26900,28100,27600,27500,29200,28900
"0 all sectors","511 Travel attendants and related workers","men","55-64 years",24300,24400,24500,24200,26500,28700,28300,26800,28600,29100
"0 all sectors","511 Travel attendants and related workers","women","18-24 years",18300,16400,18300,20100,20100,21700,22900,23600,24200,24300
"0 all sectors","511 Travel attendants and related workers","women","25-34 years",21500,21700,21700,22400,23400,25600,23600,26600,26600,26100
"0 all sectors","511 Travel attendants and related workers","women","35-44 years",24200,24400,24400,25800,26000,29600,27500,30900,30400,28100
"0 all sectors","511 Travel attendants and related workers","women","45-54 years",27100,27000,27000,27600,29500,29600,29200,29900,31000,32100
"0 all sectors","511 Travel attendants and related workers","women","55-64 years",30200,28600,28900,29600,33900,33800,33500,28300,32100,31500
"0 all sectors","512 Housekeeping and restaurant services workers","men","18-24 years",17200,17100,18000,18400,19200,20100,20500,21000,21500,21300
"0 all sectors","512 Housekeeping and restaurant services workers","men","25-34 years",18900,19200,20200,20400,21400,22000,22500,23200,23400,25000
"0 all sectors","512 Housekeeping and restaurant services workers","men","35-44 years",19000,19800,20900,21200,22200,23100,23800,23900,23600,25200
"0 all sectors","512 Housekeeping and restaurant services workers","men","45-54 years",19100,18900,20000,20000,21500,22200,23300,24200,25300,25800
"0 all sectors","512 Housekeeping and restaurant services workers","men","55-64 years",20000,18700,21500,20500,21300,22800,23700,23300,24800,24100
"0 all sectors","512 Housekeeping and restaurant services workers","women","18-24 years",16600,16400,17000,17500,19100,19400,19600,20200,20800,21300
"0 all sectors","512 Housekeeping and restaurant services workers","women","25-34 years",18000,18200,19100,19800,20700,21400,22100,22200,22400,23600
"0 all sectors","512 Housekeeping and restaurant services workers","women","35-44 years",18100,18700,19400,19500,21100,21400,20900,22600,23300,23800
"0 all sectors","512 Housekeeping and restaurant services workers","women","45-54 years",18200,18900,19300,19700,20800,21700,22400,22800,23000,23400
"0 all sectors","512 Housekeeping and restaurant services workers","women","55-64 years",18200,18700,19300,19600,20800,21900,22200,22900,23800,24300
"0 all sectors","513 Personal care and related workers","men","18-24 years",16900,17300,17800,17900,18900,19700,19700,20200,20800,21200
"0 all sectors","513 Personal care and related workers","men","25-34 years",18400,18900,19300,19400,20900,21600,21800,22400,22900,23400
"0 all sectors","513 Personal care and related workers","men","35-44 years",19300,19700,20300,20400,22000,22800,23000,23600,24200,24600
"0 all sectors","513 Personal care and related workers","men","45-54 years",19600,20100,20800,20700,22300,23100,23400,24000,24700,25100
"0 all sectors","513 Personal care and related workers","men","55-64 years",19500,20000,20800,20800,22400,23100,23400,24000,24900,25400
"0 all sectors","513 Personal care and related workers","women","18-24 years",17100,17400,17800,17800,19000,19800,19900,20400,20800,21100
"0 all sectors","513 Personal care and related workers","women","25-34 years",18200,18700,19100,19000,20500,21400,21600,22100,22600,22900
"0 all sectors","513 Personal care and related workers","women","35-44 years",18900,19400,19900,19800,21500,22300,22700,23200,23700,24100
"0 all sectors","513 Personal care and related workers","women","45-54 years",19100,19600,20200,20200,21900,22800,23200,23800,24400,24900
"0 all sectors","513 Personal care and related workers","women","55-64 years",19000,19500,20100,20100,21900,22800,23300,23900,24500,25100
"0 all sectors","514 Other personal services workers","men","18-24 years",16900,18100,17700,17600,19200,19400,20600,20500,20000,20400
"0 all sectors","514 Other personal services workers","men","25-34 years",19500,20600,20100,20500,21300,23400,22800,22800,23400,24700
"0 all sectors","514 Other personal services workers","men","35-44 years",19300,20500,20300,21700,22400,24200,26300,23600,24100,25000
"0 all sectors","514 Other personal services workers","men","45-54 years",19700,21100,22400,23100,23100,24400,24900,26500,24800,25700
"0 all sectors","514 Other personal services workers","men","55-64 years",20400,19500,23100,22600,23300,24800,25200,26300,28000,26700
"0 all sectors","514 Other personal services workers","women","18-24 years",18400,19300,19300,19600,20700,20900,21700,20800,22700,21600
"0 all sectors","514 Other personal services workers","women","25-34 years",19200,19100,20300,21100,21500,22000,23000,23200,24600,24000
"0 all sectors","514 Other personal services workers","women","35-44 years",19100,20200,20900,21600,22700,23800,24100,23900,24500,23700
"0 all sectors","514 Other personal services workers","women","45-54 years",18800,19400,20200,21200,22500,25400,23100,23600,24700,25100
"0 all sectors","514 Other personal services workers","women","55-64 years",19300,19700,20300,21700,22800,22800,23200,22400,23800,24900
"0 all sectors","515 Protective services workers","men","18-24 years",19500,19800,19600,20200,21400,22000,23400,23400,24400,25000
"0 all sectors","515 Protective services workers","men","25-34 years",20300,20800,21100,22100,23200,23700,25000,25200,26000,26400
"0 all sectors","515 Protective services workers","men","35-44 years",21200,21600,22400,23000,24200,24900,25900,26300,26800,27300
"0 all sectors","515 Protective services workers","men","45-54 years",21700,22000,23000,23300,24700,25000,26500,27000,27800,28400
"0 all sectors","515 Protective services workers","men","55-64 years",21800,22100,23200,23400,24000,24900,26100,26500,27700,28100
"0 all sectors","515 Protective services workers","women","18-24 years",18300,18800,18700,19300,20200,21100,21500,22100,22800,23400
"0 all sectors","515 Protective services workers","women","25-34 years",19000,19600,20000,20700,21500,22500,23100,23400,24500,24700
"0 all sectors","515 Protective services workers","women","35-44 years",19700,19900,20600,21300,22000,22900,23800,24100,24600,25300
"0 all sectors","515 Protective services workers","women","45-54 years",20000,20600,21400,21900,23100,23500,23900,24100,25200,25700
"0 all sectors","515 Protective services workers","women","55-64 years",19900,20300,21000,21700,22700,23200,24300,24400,25000,25700
"0 all sectors","521 Fashion and other models","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","521 Fashion and other models","men","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","521 Fashion and other models","men","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","521 Fashion and other models","men","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","521 Fashion and other models","men","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","521 Fashion and other models","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","521 Fashion and other models","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","521 Fashion and other models","women","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","521 Fashion and other models","women","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","521 Fashion and other models","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","522 Shop and stall salespersons and demonstrators","men","18-24 years",18700,19300,19900,20800,21200,22300,22100,23000,24200,25300
"0 all sectors","522 Shop and stall salespersons and demonstrators","men","25-34 years",20200,21300,21900,22800,23700,24300,24500,25300,25500,27000
"0 all sectors","522 Shop and stall salespersons and demonstrators","men","35-44 years",21200,22700,23300,24200,25100,25600,25900,26200,27100,28200
"0 all sectors","522 Shop and stall salespersons and demonstrators","men","45-54 years",21100,23400,22800,23400,24800,25500,27100,27500,29400,29700
"0 all sectors","522 Shop and stall salespersons and demonstrators","men","55-64 years",21300,23200,23600,24200,24700,26500,26000,27700,27800,29300
"0 all sectors","522 Shop and stall salespersons and demonstrators","women","18-24 years",18400,18900,19600,20900,21300,22600,22700,23700,24700,25200
"0 all sectors","522 Shop and stall salespersons and demonstrators","women","25-34 years",19200,19600,20700,21500,22100,23200,24100,24300,25500,26200
"0 all sectors","522 Shop and stall salespersons and demonstrators","women","35-44 years",19300,19900,20500,21800,22200,22900,23800,24000,25400,25400
"0 all sectors","522 Shop and stall salespersons and demonstrators","women","45-54 years",19300,20000,20900,22000,21700,23600,24200,24200,24700,25600
"0 all sectors","522 Shop and stall salespersons and demonstrators","women","55-64 years",18600,19400,20200,21400,21400,22300,22500,24100,24800,25800
"0 all sectors","611 Market gardeners and crop growers","men","18-24 years",16000,17600,17600,17400,19000,18800,18200,18800,19400,19000
"0 all sectors","611 Market gardeners and crop growers","men","25-34 years",18000,18900,18800,19300,21500,21300,21100,22100,23000,22900
"0 all sectors","611 Market gardeners and crop growers","men","35-44 years",19000,19900,22200,20900,21800,22300,22900,23300,23800,24000
"0 all sectors","611 Market gardeners and crop growers","men","45-54 years",18800,19400,21600,20600,21500,21500,22400,23900,23700,24300
"0 all sectors","611 Market gardeners and crop growers","men","55-64 years",18200,19100,19300,20200,21000,21300,21900,22400,22600,23300
"0 all sectors","611 Market gardeners and crop growers","women","18-24 years",15600,16100,17800,18700,18700,19200,18600,19500,19900,20500
"0 all sectors","611 Market gardeners and crop growers","women","25-34 years",17800,19600,19800,19900,19900,20100,20100,21400,22900,23000
"0 all sectors","611 Market gardeners and crop growers","women","35-44 years",17900,18200,19100,19400,20500,21800,22100,21400,22900,23000
"0 all sectors","611 Market gardeners and crop growers","women","45-54 years",17000,17700,19000,19400,19800,21100,20600,22000,22700,23700
"0 all sectors","611 Market gardeners and crop growers","women","55-64 years",16800,17600,18700,19000,20500,20200,21500,21800,21600,22800
"0 all sectors","612 Animal producers and related workers","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","612 Animal producers and related workers","men","25-34 years",16800,17300,..,..,..,..,..,..,..,..
"0 all sectors","612 Animal producers and related workers","men","35-44 years",18100,..,..,19900,..,..,..,..,..,..
"0 all sectors","612 Animal producers and related workers","men","45-54 years",18500,19200,19400,20600,..,..,..,..,..,..
"0 all sectors","612 Animal producers and related workers","men","55-64 years",19200,19200,..,21600,..,..,22300,..,..,..
"0 all sectors","612 Animal producers and related workers","women","18-24 years",15700,16300,16600,17800,18300,18900,18800,19800,19900,19400
"0 all sectors","612 Animal producers and related workers","women","25-34 years",17700,17300,18500,18900,19400,20100,20100,21200,22200,23400
"0 all sectors","612 Animal producers and related workers","women","35-44 years",17500,19200,19800,19600,20300,21400,21200,22000,21300,22000
"0 all sectors","612 Animal producers and related workers","women","45-54 years",17900,19200,19500,21000,21700,20300,22000,22100,22900,20800
"0 all sectors","612 Animal producers and related workers","women","55-64 years",..,..,..,..,..,..,22900,..,23300,22100
"0 all sectors","613 Crop and animal producers","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","613 Crop and animal producers","men","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","613 Crop and animal producers","men","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","613 Crop and animal producers","men","45-54 years",..,..,..,..,..,..,22200,22700,..,..
"0 all sectors","613 Crop and animal producers","men","55-64 years",..,..,..,..,..,19100,19900,23500,..,..
"0 all sectors","613 Crop and animal producers","women","18-24 years",..,..,..,..,17200,19600,20000,20300,19900,21300
"0 all sectors","613 Crop and animal producers","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","613 Crop and animal producers","women","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","613 Crop and animal producers","women","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","613 Crop and animal producers","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","614 Forestry and related workers","men","18-24 years",..,19200,19200,19300,..,21700,..,22000,..,..
"0 all sectors","614 Forestry and related workers","men","25-34 years",19500,20600,20700,22700,24400,23300,21900,25200,24400,25300
"0 all sectors","614 Forestry and related workers","men","35-44 years",20400,21200,21400,22100,23300,23400,24800,24300,23200,22900
"0 all sectors","614 Forestry and related workers","men","45-54 years",20300,20900,21100,22700,22600,23400,24700,24800,24900,25200
"0 all sectors","614 Forestry and related workers","men","55-64 years",20500,20200,20900,21900,22400,23200,24500,24700,24900,27300
"0 all sectors","614 Forestry and related workers","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","614 Forestry and related workers","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","614 Forestry and related workers","women","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","614 Forestry and related workers","women","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","614 Forestry and related workers","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","men","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","men","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","men","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","men","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","women","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","women","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","615 Fishery workers, hunters and trappers","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","men","18-24 years",..,..,23000,..,26000,..,28600,29300,31500,32400
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","men","25-34 years",24300,25300,26000,26900,29100,30800,30400,31900,33000,35700
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","men","35-44 years",25200,25600,27900,29300,29700,32500,32800,32300,..,35200
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","men","45-54 years",24800,26100,26900,27800,29800,31700,31200,33000,34400,37100
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","men","55-64 years",24100,24400,26400,27100,29200,31100,31400,32600,33100,32900
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","women","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","women","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","711 Miners, shot firers, stonecutters and carvers","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","712 Building frame and related trades workers","men","18-24 years",20000,20100,20700,21800,22900,23700,23800,24400,25400,26300
"0 all sectors","712 Building frame and related trades workers","men","25-34 years",23200,23200,24000,25100,25800,26300,26900,27000,27800,28200
"0 all sectors","712 Building frame and related trades workers","men","35-44 years",23200,23600,24100,25300,26600,27200,27400,28700,29200,29600
"0 all sectors","712 Building frame and related trades workers","men","45-54 years",23100,23700,24200,25400,26900,27300,27700,28100,30000,29800
"0 all sectors","712 Building frame and related trades workers","men","55-64 years",23400,23600,24300,25800,26900,27500,27500,29000,29900,29700
"0 all sectors","712 Building frame and related trades workers","women","18-24 years",..,..,..,17500,24300,23500,20000,21400,22800,21100
"0 all sectors","712 Building frame and related trades workers","women","25-34 years",..,..,18900,18800,21200,20300,22700,26200,23100,25400
"0 all sectors","712 Building frame and related trades workers","women","35-44 years",20100,20700,20500,22000,22500,23100,23300,23400,26400,24800
"0 all sectors","712 Building frame and related trades workers","women","45-54 years",..,..,..,21100,22400,22300,21900,22700,23600,28000
"0 all sectors","712 Building frame and related trades workers","women","55-64 years",..,..,..,..,..,20600,21100,21600,23500,..
"0 all sectors","713 Building finishers and related trades workers","men","18-24 years",18900,18800,19100,19600,21100,22100,22700,22800,22900,22700
"0 all sectors","713 Building finishers and related trades workers","men","25-34 years",21700,22300,22900,23600,24900,25600,26800,26900,27300,28000
"0 all sectors","713 Building finishers and related trades workers","men","35-44 years",21800,22700,23300,24400,26100,26100,26800,26900,27800,28200
"0 all sectors","713 Building finishers and related trades workers","men","45-54 years",21200,21900,22900,23500,24700,25100,25500,26400,27800,28500
"0 all sectors","713 Building finishers and related trades workers","men","55-64 years",20800,21200,22200,22600,23700,24300,25000,25700,25900,26800
"0 all sectors","713 Building finishers and related trades workers","women","18-24 years",18400,18700,17700,17300,18200,19100,20300,19100,20200,23000
"0 all sectors","713 Building finishers and related trades workers","women","25-34 years",17900,18700,19700,20000,21500,21900,21900,22100,21500,23800
"0 all sectors","713 Building finishers and related trades workers","women","35-44 years",18600,18900,19600,20500,22000,22300,23100,23300,25000,22700
"0 all sectors","713 Building finishers and related trades workers","women","45-54 years",18000,18600,19200,19800,21000,21100,21900,22800,23900,24200
"0 all sectors","713 Building finishers and related trades workers","women","55-64 years",18200,19100,19100,20900,20600,21500,22500,22700,23400,23900
"0 all sectors","714 Painters, building structure cleaners and related trades workers","men","18-24 years",19000,19300,20300,21500,21900,19100,21800,22300,23000,23000
"0 all sectors","714 Painters, building structure cleaners and related trades workers","men","25-34 years",21600,21800,22800,23100,24100,23200,24800,24000,25400,25600
"0 all sectors","714 Painters, building structure cleaners and related trades workers","men","35-44 years",22200,22300,24000,24400,24700,25700,25600,25700,26900,26200
"0 all sectors","714 Painters, building structure cleaners and related trades workers","men","45-54 years",22600,22500,23000,24300,24800,25200,25600,26600,27300,27500
"0 all sectors","714 Painters, building structure cleaners and related trades workers","men","55-64 years",21600,22400,22800,24300,25400,26200,26400,27100,26500,26800
"0 all sectors","714 Painters, building structure cleaners and related trades workers","women","18-24 years",..,..,..,..,..,20900,19500,20600,21900,21800
"0 all sectors","714 Painters, building structure cleaners and related trades workers","women","25-34 years",18600,..,..,..,22200,22300,21600,22800,..,23600
"0 all sectors","714 Painters, building structure cleaners and related trades workers","women","35-44 years",19500,19900,20800,22000,22000,22300,23300,..,..,24800
"0 all sectors","714 Painters, building structure cleaners and related trades workers","women","45-54 years",..,..,..,..,..,21700,24900,23600,24000,24600
"0 all sectors","714 Painters, building structure cleaners and related trades workers","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","men","18-24 years",18300,19000,19400,20400,20900,21500,21900,22700,23000,24000
"0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","men","25-34 years",20900,21300,21800,23300,24000,24800,25000,24900,25800,26900
"0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","men","35-44 years",21100,21700,22800,24000,25000,25700,26300,26600,27000,27600
"0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","men","45-54 years",21200,21600,22700,23900,24400,25700,26100,26500,27300,28300
"0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","men","55-64 years",21600,22000,22300,23500,24600,24800,24900,26000,27000,28700
"0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","women","18-24 years",..,..,..,..,..,..,..,..,..,..
