"occupational group (SSYK)","age","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"411 Office secretaries and data entry operators","60-64 years","women",20500,20400,21100,22000,22400,23000,24100,24700,25200,25700,27100,29100,28100,29200
"412 Numerical clerks","18-24 years","men",15600,16100,17800,17300,..,..,18000,18200,20000,20500,20800,24400,21100,21200
"412 Numerical clerks","18-24 years","women",15700,15900,16500,16500,18400,17700,18300,18500,20600,20100,21000,21100,22300,21700
"412 Numerical clerks","25-29 years","men",18800,20800,20200,19600,20000,21400,22600,22900,24300,24400,25100,25800,25500,27100
"412 Numerical clerks","25-29 years","women",18000,18600,18700,20000,20800,20700,21100,21900,23200,23800,23500,24900,25400,25800
"412 Numerical clerks","30-34 years","men",21600,21600,23000,22200,22400,23700,25600,25700,26400,26100,27800,27600,29800,30700
"412 Numerical clerks","30-34 years","women",18000,19200,19900,20600,20600,21400,22400,23800,23900,25000,25600,26800,25700,25900
"412 Numerical clerks","35-39 years","men",24800,22900,23500,22300,21700,23700,25500,27900,27600,26500,30500,31100,32100,32600
"412 Numerical clerks","35-39 years","women",18500,19100,19800,20400,21400,21700,22600,23700,25200,26400,25900,26900,27800,28900
"412 Numerical clerks","40-44 years","men",22300,23600,23900,23400,23100,24800,24300,25800,27400,29100,27400,30500,30300,32000
"412 Numerical clerks","40-44 years","women",18300,19100,19500,20300,21900,21800,22500,24900,24400,24400,25600,27100,28200,29500
"412 Numerical clerks","45-49 years","men",20700,23000,24000,24100,23100,23500,25200,26700,27500,27700,33000,32200,32500,32300
"412 Numerical clerks","45-49 years","women",18200,19300,20200,20900,21600,22100,23500,23600,25100,25600,25900,25800,27500,28700
"412 Numerical clerks","50-54 years","men",20800,20600,21300,22100,22600,24100,24000,25600,25900,27800,29500,29200,35900,33800
"412 Numerical clerks","50-54 years","women",18500,19000,20000,20700,21800,22300,23000,24100,25300,25000,26800,27200,28600,28500
"412 Numerical clerks","55-59 years","men",21600,20200,22400,23200,24000,22000,24500,23900,29900,29700,30100,29300,29300,26300
"412 Numerical clerks","55-59 years","women",19200,19700,20100,21100,21500,22000,23000,23600,24800,25100,26200,27200,27400,28400
"412 Numerical clerks","60-64 years","men",21400,20500,20900,21800,22000,25700,24800,26200,26400,30400,29100,27200,31200,..
"412 Numerical clerks","60-64 years","women",18600,19400,21000,20800,21700,21600,23200,24300,25000,25700,26600,27000,27200,28100
"413 Stores and transport clerks","18-24 years","men",15400,15500,15900,16400,17900,18300,17700,19400,20600,20900,20100,20000,21500,21400
"413 Stores and transport clerks","18-24 years","women",15000,15700,16600,16800,16600,17900,16700,20400,19300,..,19100,21100,21200,21600
"413 Stores and transport clerks","25-29 years","men",17300,17800,18300,19200,19900,20700,21200,22500,23200,24100,23200,24300,25300,26300
"413 Stores and transport clerks","25-29 years","women",17400,17700,18600,19200,19000,19200,20300,21700,22600,20900,23200,24400,25800,28700
"413 Stores and transport clerks","30-34 years","men",18900,19500,20600,20800,21500,22800,23200,26200,25300,25500,27200,27800,29200,29500
"413 Stores and transport clerks","30-34 years","women",18300,19000,19300,19800,20500,20700,21400,24200,24400,25800,25400,26700,28000,28300
"413 Stores and transport clerks","35-39 years","men",19700,20000,21400,21300,22100,23100,23700,26000,26900,27400,27000,28600,29500,32000
"413 Stores and transport clerks","35-39 years","women",18600,19300,20300,21200,21300,22300,22400,24400,23900,23500,26400,27600,28200,29600
"413 Stores and transport clerks","40-44 years","men",19800,20700,21600,22700,23100,23300,25100,25600,26900,26800,26200,28000,30900,30200
"413 Stores and transport clerks","40-44 years","women",19300,19500,20800,21300,20800,21900,23100,23800,23900,25700,26100,26700,28200,28800
"413 Stores and transport clerks","45-49 years","men",20800,21400,23200,23000,23400,24600,23900,25400,26900,28200,27600,28400,29600,29600
"413 Stores and transport clerks","45-49 years","women",19500,20100,20600,21000,21300,22800,23000,24100,24000,26000,25400,26700,28800,28000
"413 Stores and transport clerks","50-54 years","men",20600,21400,22200,22800,22600,24000,24600,26100,27600,29000,29000,29200,30800,29400
"413 Stores and transport clerks","50-54 years","women",19100,19400,20600,21500,22100,22200,22900,23000,21900,25600,27000,26600,28300,29000
"413 Stores and transport clerks","55-59 years","men",20400,21000,22300,22700,23100,24500,24200,25300,25000,25100,26600,29100,31500,33400
"413 Stores and transport clerks","55-59 years","women",18300,19900,21200,22000,21700,21600,22900,22900,24700,25500,27500,26400,28100,29400
"413 Stores and transport clerks","60-64 years","men",19500,19700,21000,22500,22100,24100,23300,23900,23100,27200,28400,28100,30600,32400
"413 Stores and transport clerks","60-64 years","women",..,..,20800,20100,20000,20900,20600,21700,23700,24500,25500,28200,28300,28600
"414 Library and filing clerks","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","30-34 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","35-39 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","35-39 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","40-44 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","45-49 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","50-54 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","50-54 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","55-59 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"414 Library and filing clerks","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","18-24 years","men",14100,14300,15200,15500,15900,16800,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","18-24 years","women",13900,14200,15100,15300,15800,16900,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","25-29 years","men",15600,15300,16100,16300,16900,17900,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","25-29 years","women",15500,15300,16000,16300,17000,17700,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","30-34 years","men",17000,16900,17200,17600,18200,19000,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","30-34 years","women",16600,16300,17000,17200,17800,18700,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","35-39 years","men",17400,17400,17800,18500,19500,20200,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","35-39 years","women",17000,16800,17300,17900,18700,19300,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","40-44 years","men",17600,17600,18200,18800,19500,20500,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","40-44 years","women",17300,17300,17600,18200,19200,19900,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","45-49 years","men",17800,17800,18300,19100,19800,20700,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","45-49 years","women",17300,17300,18200,18800,19300,20000,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","50-54 years","men",17800,17700,18300,19000,19800,20500,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","50-54 years","women",17500,17300,18000,18800,19100,20000,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","55-59 years","men",17900,17700,18200,19000,19500,20300,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","55-59 years","women",17500,17200,17900,18800,19400,20000,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","60-64 years","men",17700,17900,18600,19300,19800,20100,..,..,..,..,..,..,..,..
"415 Mail carriers and sorting clerks","60-64 years","women",17200,17100,17800,18800,19200,19700,..,..,..,..,..,..,..,..
"419 Other office clerks","18-24 years","men",14000,14600,16200,15700,17300,17800,18600,18600,19000,19700,19400,19400,19200,19500
"419 Other office clerks","18-24 years","women",13900,14600,15600,15800,16600,16900,17900,17900,19000,19200,19100,19100,20000,21100
"419 Other office clerks","25-29 years","men",17100,18200,18500,19300,20700,20400,21500,22300,23700,24000,24600,25000,25200,25600
"419 Other office clerks","25-29 years","women",16100,16900,18300,18600,19500,19500,20500,21300,22100,23000,23400,24100,25300,..
"419 Other office clerks","30-34 years","men",19100,19900,20300,22300,21700,24000,24400,24800,26500,26500,27800,27600,29000,28600
"419 Other office clerks","30-34 years","women",17100,18100,19100,19700,19900,20700,22000,23100,23800,24700,25300,25700,25800,26800
"419 Other office clerks","35-39 years","men",18900,20500,21500,23200,23500,24300,24900,24900,27300,28600,29800,29900,32500,32100
"419 Other office clerks","35-39 years","women",18000,18300,18500,19600,20200,21100,22100,22900,24000,24500,25000,26300,27300,27900
"419 Other office clerks","40-44 years","men",19300,19500,20800,23100,22600,24500,25500,26100,28000,28400,29400,30400,31500,31800
"419 Other office clerks","40-44 years","women",17300,18400,19000,20000,20800,21300,22000,23200,23900,24900,25400,26200,26700,28200
"419 Other office clerks","45-49 years","men",19200,20300,21800,22800,23300,24100,26100,26900,27300,27100,29900,28600,32200,32200
"419 Other office clerks","45-49 years","women",17200,17700,19100,19600,20400,21700,22800,23100,23800,25300,26200,27500,27900,28500
"419 Other office clerks","50-54 years","men",19400,19400,20600,23100,22800,24200,24100,25500,26400,26600,29900,30300,30200,31600
"419 Other office clerks","50-54 years","women",17500,18300,18500,19500,21000,21600,22400,23700,25200,24000,25300,26800,26600,27000
"419 Other office clerks","55-59 years","men",19500,20000,21900,24000,24100,25000,25400,25900,27200,27200,28200,29600,30300,30900
"419 Other office clerks","55-59 years","women",17000,17500,18700,19800,19900,20800,21600,22900,23800,24100,25400,26500,26700,27400
"419 Other office clerks","60-64 years","men",18200,19300,20400,20700,23100,23700,25400,25600,27300,26600,28600,29200,27900,29600
"419 Other office clerks","60-64 years","women",16900,17300,18400,19600,20000,20800,21600,22300,23800,23700,26300,25200,26300,27400
"421 Cashiers, tellers and related clerks","18-24 years","men",14200,16000,16500,17000,18100,18700,20300,19700,20200,21600,21100,21200,19600,21500
"421 Cashiers, tellers and related clerks","18-24 years","women",14200,15500,16300,17000,17300,17300,18600,18800,20200,26000,20600,19800,21100,20400
"421 Cashiers, tellers and related clerks","25-29 years","men",15600,18500,18400,19000,19300,20600,20900,20900,22600,23500,23900,23200,25300,24000
"421 Cashiers, tellers and related clerks","25-29 years","women",15800,17300,18000,18500,18100,19400,19900,20200,21100,22400,22800,21600,23300,22700
"421 Cashiers, tellers and related clerks","30-34 years","men",18600,20000,20300,21100,..,22200,23100,23900,23900,24800,26100,24700,25200,25200
"421 Cashiers, tellers and related clerks","30-34 years","women",16600,18200,18500,19900,20300,20100,22300,21800,22400,25000,25100,23500,25300,23500
"421 Cashiers, tellers and related clerks","35-39 years","men",..,21700,21400,..,..,..,..,..,..,..,..,..,26800,26600
"421 Cashiers, tellers and related clerks","35-39 years","women",17300,18500,18700,19700,21200,20600,22700,22900,25400,26300,25900,24500,26500,26800
"421 Cashiers, tellers and related clerks","40-44 years","men",..,21300,..,..,..,..,..,..,..,..,..,..,..,..
"421 Cashiers, tellers and related clerks","40-44 years","women",17800,18400,18200,19300,20900,21200,22200,23900,23700,23900,25800,25300,26500,25200
"421 Cashiers, tellers and related clerks","45-49 years","men",..,20600,..,..,..,..,..,..,..,..,..,..,..,..
"421 Cashiers, tellers and related clerks","45-49 years","women",18000,18600,18200,18700,20500,20700,21600,22100,23700,..,27100,24700,26500,24300
"421 Cashiers, tellers and related clerks","50-54 years","men",..,19900,..,..,..,..,..,..,..,..,..,..,..,..
"421 Cashiers, tellers and related clerks","50-54 years","women",18600,18500,18300,18800,19800,20400,21000,21200,22600,..,25300,..,25300,23900
"421 Cashiers, tellers and related clerks","55-59 years","men",..,20700,..,..,24000,22900,..,..,..,..,..,..,..,..
"421 Cashiers, tellers and related clerks","55-59 years","women",18900,18400,18400,18800,19500,19700,21000,21200,22700,..,..,..,..,..
"421 Cashiers, tellers and related clerks","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"421 Cashiers, tellers and related clerks","60-64 years","women",17600,18000,17700,18600,19400,20000,21000,21200,22100,..,..,..,..,..
"422 Client information clerks","18-24 years","men",14300,15500,16200,16000,16200,17400,17400,16900,18200,19800,19300,19300,20300,20900
"422 Client information clerks","18-24 years","women",14400,15000,15400,15900,16200,16800,17000,17200,18200,19100,19000,19500,19700,20500
"422 Client information clerks","25-29 years","men",16100,17500,17400,18000,18500,18000,19100,19600,20600,21500,22000,22100,23100,23300
"422 Client information clerks","25-29 years","women",15800,16700,17000,17300,18000,18000,18400,19000,19900,21000,21100,21500,22300,22600
"422 Client information clerks","30-34 years","men",17400,19500,18900,20100,20300,19900,20300,20400,23000,23900,24000,24000,24000,25300
"422 Client information clerks","30-34 years","women",16400,17200,17800,18300,18700,19200,20000,20300,21200,22200,22500,22800,23200,23700
"422 Client information clerks","35-39 years","men",17600,18700,19400,20400,21200,21300,22400,22400,24000,25500,25000,25400,26400,25600
"422 Client information clerks","35-39 years","women",16800,17800,18000,19000,19700,19900,20600,21200,22300,23400,23400,24400,25200,24800
"422 Client information clerks","40-44 years","men",18900,19600,19600,20600,20200,20900,22500,22900,24300,26400,25600,28200,29700,27900
"422 Client information clerks","40-44 years","women",17300,18100,18300,18800,19800,19900,21100,21100,22600,23400,24200,24300,24800,25600
"422 Client information clerks","45-49 years","men",19100,20000,19600,21100,21900,22200,22700,23300,24400,26000,26500,27800,29500,26900
"422 Client information clerks","45-49 years","women",17100,18200,17900,19200,20200,20400,21400,21800,23300,23800,24500,24900,25600,26100
"422 Client information clerks","50-54 years","men",20900,21800,21200,21800,22000,22400,21800,22900,24000,26600,26600,28800,27900,28000
"422 Client information clerks","50-54 years","women",17400,18000,18100,19600,19500,20500,21200,21600,22800,23800,24400,24700,25000,25500
"422 Client information clerks","55-59 years","men",21100,20700,20100,22300,21600,23300,23800,24300,24000,25600,26000,27800,26500,27600
"422 Client information clerks","55-59 years","women",17100,17800,18400,19000,19700,20000,21400,21400,22700,23600,23900,23600,25000,26300
"422 Client information clerks","60-64 years","men",..,..,..,..,..,..,22500,22800,25000,26300,26000,26100,23000,28700
"422 Client information clerks","60-64 years","women",17100,17400,18100,18900,19300,20100,20800,21700,22200,23300,23800,23900,24100,26200
"511 Travel attendants and related workers","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"511 Travel attendants and related workers","18-24 years","women",16100,16900,17800,..,18900,17100,18800,20300,21600,23500,22600,23900,24500,24200
"511 Travel attendants and related workers","25-29 years","men",18500,18900,20800,21700,20600,22300,21900,21600,23000,..,23700,25300,24600,25600
"511 Travel attendants and related workers","25-29 years","women",17800,18600,19300,21400,21200,21300,21100,21400,22500,23800,22900,26700,26300,25700
"511 Travel attendants and related workers","30-34 years","men",19000,20000,21200,22200,23100,23100,23900,24100,24800,26700,24000,26500,26300,27100
"511 Travel attendants and related workers","30-34 years","women",18800,19700,20500,22200,22700,23100,23500,23800,24400,26100,24500,26800,27400,27200
"511 Travel attendants and related workers","35-39 years","men",21500,21600,22000,23400,22800,23300,24000,24600,25100,28900,26800,26300,28300,28300
"511 Travel attendants and related workers","35-39 years","women",21100,21300,22600,23200,23300,23500,24900,25500,25300,29300,27400,31000,29700,27700
"511 Travel attendants and related workers","40-44 years","men",22100,22100,22700,24300,23600,24000,24700,24900,25900,28500,27300,..,..,28800
"511 Travel attendants and related workers","40-44 years","women",23200,23000,23100,26000,25300,25300,26100,27200,27100,30300,27900,31200,31500,29000
"511 Travel attendants and related workers","45-49 years","men",22400,23000,24500,25100,24200,24700,25300,25600,26600,27700,27600,28100,29200,28700
"511 Travel attendants and related workers","45-49 years","women",25800,26300,25900,27600,26300,26000,26300,26900,29900,30100,29300,31200,31400,34000
"511 Travel attendants and related workers","50-54 years","men",..,23700,24400,27300,24500,24800,25500,25400,27700,29100,28400,27400,29500,29500
"511 Travel attendants and related workers","50-54 years","women",28300,28800,32500,36900,28800,28700,28300,29600,29300,30700,29600,28700,30900,30700
"511 Travel attendants and related workers","55-59 years","men",..,25900,..,..,24700,24500,25000,24400,27200,29400,28700,27200,29000,29500
"511 Travel attendants and related workers","55-59 years","women",34500,29400,37700,42200,31300,29500,29000,31200,36800,35800,35200,..,32700,31800
"511 Travel attendants and related workers","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"511 Travel attendants and related workers","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,31700
"512 Housekeeping and restaurant services workers","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"512 Housekeeping and restaurant services workers","18-24 years","women",..,..,..,..,..,..,..,..,..,..,19400,21500,..,..
"512 Housekeeping and restaurant services workers","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"512 Housekeeping and restaurant services workers","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"512 Housekeeping and restaurant services workers","30-34 years","men",..,..,..,..,..,..,23500,23300,..,..,26400,..,..,..
"512 Housekeeping and restaurant services workers","30-34 years","women",..,..,..,..,19400,..,20400,22800,21700,21500,22700,24900,..,..
"512 Housekeeping and restaurant services workers","35-39 years","men",..,..,..,..,21000,22300,23300,..,..,26800,26700,..,..,..
"512 Housekeeping and restaurant services workers","35-39 years","women",..,..,..,..,19500,19800,19600,20900,22300,22900,22700,22600,24900,22900
"512 Housekeeping and restaurant services workers","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"512 Housekeeping and restaurant services workers","40-44 years","women",16700,..,..,..,..,21300,23000,19900,22100,21800,22700,23500,23500,25000
"512 Housekeeping and restaurant services workers","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"512 Housekeeping and restaurant services workers","45-49 years","women",..,..,..,..,..,21000,19900,21400,21800,22700,22400,24000,23600,24300
"512 Housekeeping and restaurant services workers","50-54 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"512 Housekeeping and restaurant services workers","50-54 years","women",16700,..,..,..,..,..,19200,20200,21400,22400,23000,23600,24000,25500
"512 Housekeeping and restaurant services workers","55-59 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"512 Housekeeping and restaurant services workers","55-59 years","women",17600,17400,..,..,..,..,19900,20700,21400,22000,21900,22300,23600,25600
"512 Housekeeping and restaurant services workers","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"512 Housekeeping and restaurant services workers","60-64 years","women",..,..,..,..,..,..,20000,20400,21300,23700,22900,23700,23700,24300
"513 Personal care and related workers","18-24 years","men",17100,16800,16800,17000,17100,17600,18900,18800,19900,21000,20200,20600,22400,22900
"513 Personal care and related workers","18-24 years","women",15200,16100,16900,17100,17100,17500,18700,18600,19900,20900,20000,20700,22000,22000
"513 Personal care and related workers","25-29 years","men",16400,17500,18600,18000,17900,18900,20400,19800,22000,22300,21600,22700,23800,24100
"513 Personal care and related workers","25-29 years","women",15800,16700,17500,17600,17800,18400,19500,19300,20800,21800,21300,22000,23100,23200
"513 Personal care and related workers","30-34 years","men",16900,17900,18800,18900,18800,19200,20200,20400,22100,22800,22400,23300,24400,24900
"513 Personal care and related workers","30-34 years","women",16300,17000,17700,18200,18400,19000,19600,20000,21100,22000,21700,22400,23400,23900
"513 Personal care and related workers","35-39 years","men",17000,18600,19300,19300,18900,19500,20000,20800,22500,23600,22800,24100,24800,25100
"513 Personal care and related workers","35-39 years","women",16500,17400,18400,18400,18400,19200,20000,20200,21600,22500,22200,22800,23800,24200
"513 Personal care and related workers","40-44 years","men",17300,18900,19300,19400,19400,19500,20800,21000,23100,24100,23900,24000,24900,25400
"513 Personal care and related workers","40-44 years","women",16800,17800,18500,19000,19000,19500,20200,20600,21900,22800,22900,23300,24400,24700
"513 Personal care and related workers","45-49 years","men",17800,18700,20300,19300,18900,19600,21800,20900,22400,23700,23500,24100,25200,25300
"513 Personal care and related workers","45-49 years","women",16700,17600,18900,19300,19000,19800,20900,21200,22000,23200,23100,23700,24600,25100
"513 Personal care and related workers","50-54 years","men",19200,21800,23700,24400,18600,20500,21200,21600,22900,23800,23400,24400,25700,25500
"513 Personal care and related workers","50-54 years","women",16900,17400,18500,19000,19100,19900,20500,20800,22600,23400,23200,24100,25000,25300
"513 Personal care and related workers","55-59 years","men",18400,18100,18200,18800,19300,19800,21900,21300,23300,24100,23400,24700,25900,25900
"513 Personal care and related workers","55-59 years","women",16900,17500,18500,18600,18800,19400,20400,21200,22400,23300,23200,24000,25300,25100
"513 Personal care and related workers","60-64 years","men",..,..,..,..,19200,19200,21100,21400,22800,23200,23100,22900,25900,26200
"513 Personal care and related workers","60-64 years","women",16800,17300,18300,18700,19200,19700,20500,20800,22300,23000,23100,24300,25200,25300
"514 Other personal services workers","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","18-24 years","women",..,..,..,..,..,..,..,..,21200,20400,19700,..,..,21200
"514 Other personal services workers","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","25-29 years","women",16700,..,..,18900,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","30-34 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","35-39 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","35-39 years","women",..,17800,17600,19400,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","40-44 years","women",..,..,17300,17400,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","45-49 years","men",17800,21100,20200,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","45-49 years","women",17000,18500,19200,19800,..,..,..,..,22400,..,..,..,..,..
"514 Other personal services workers","50-54 years","men",18500,20100,..,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","50-54 years","women",16700,18300,17800,19300,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","55-59 years","men",18800,20000,19900,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","55-59 years","women",16600,18200,20200,19900,19900,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"514 Other personal services workers","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"515 Protective services workers","18-24 years","men",..,16400,..,..,..,..,..,..,..,..,..,23700,23900,..
"515 Protective services workers","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"515 Protective services workers","25-29 years","men",..,..,..,..,..,..,20900,..,25400,22100,23700,25400,26800,24900
"515 Protective services workers","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"515 Protective services workers","30-34 years","men",..,20500,21000,..,22100,26100,..,..,..,..,25500,31200,28400,27100
"515 Protective services workers","30-34 years","women",..,..,..,..,..,..,..,..,..,25600,..,..,..,..
"515 Protective services workers","35-39 years","men",..,28200,27300,25600,..,26300,..,..,..,..,25300,29000,..,28200
"515 Protective services workers","35-39 years","women",..,21400,21800,24900,21000,21700,22600,..,..,..,27000,..,..,..
"515 Protective services workers","40-44 years","men",..,29400,25500,27200,24100,26400,25300,..,..,..,27800,32100,33100,29600
"515 Protective services workers","40-44 years","women",..,..,..,..,21900,22200,23100,..,..,27800,..,25300,..,..
"515 Protective services workers","45-49 years","men",..,26500,29100,..,24500,22100,..,..,..,..,27300,31100,..,32600
"515 Protective services workers","45-49 years","women",..,..,..,..,..,..,..,..,..,..,26700,26300,..,..
"515 Protective services workers","50-54 years","men",..,..,28400,..,..,..,..,..,..,..,30000,..,..,..
"515 Protective services workers","50-54 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"515 Protective services workers","55-59 years","men",..,25200,27200,28400,..,..,..,..,..,..,..,..,..,..
"515 Protective services workers","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"515 Protective services workers","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"515 Protective services workers","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"522 Shop and stall salespersons and demonstrators","18-24 years","men",15600,15500,17000,16200,18300,19900,20100,21000,19900,20100,20000,21100,21900,22300
"522 Shop and stall salespersons and demonstrators","18-24 years","women",14600,14100,15800,16200,18000,18900,19900,19500,19300,20200,19200,21200,19900,21200
"522 Shop and stall salespersons and demonstrators","25-29 years","men",17000,17500,19300,19400,21900,23100,23700,24200,25100,24100,24400,24600,25700,27400
"522 Shop and stall salespersons and demonstrators","25-29 years","women",16300,16300,17900,18800,19800,21700,21100,21900,20800,21300,21900,22000,23000,24100
"522 Shop and stall salespersons and demonstrators","30-34 years","men",18000,19400,20700,20500,23000,25900,24900,26200,28600,26300,26900,28100,26600,30100
"522 Shop and stall salespersons and demonstrators","30-34 years","women",16900,16400,18100,18400,20400,21400,23300,22600,23700,24200,23300,23000,24600,24900
"522 Shop and stall salespersons and demonstrators","35-39 years","men",20900,20700,20700,21500,23100,26200,25500,27600,27200,30100,29900,29400,30800,33900
"522 Shop and stall salespersons and demonstrators","35-39 years","women",16500,16800,18400,19100,22100,22000,22600,25000,25400,..,25300,24100,25200,26800
"522 Shop and stall salespersons and demonstrators","40-44 years","men",20200,19500,21200,21900,23300,25300,25300,26500,28900,31200,31100,29300,32200,33300
"522 Shop and stall salespersons and demonstrators","40-44 years","women",16600,16400,19200,19100,20600,22400,23600,24900,24800,25500,25100,24800,25900,26600
"522 Shop and stall salespersons and demonstrators","45-49 years","men",18500,19400,21000,20500,22200,27300,24700,27500,29400,30900,31600,31100,33900,36100
"522 Shop and stall salespersons and demonstrators","45-49 years","women",16100,16200,18500,17800,19600,22500,23800,24500,23600,24500,25500,26400,24800,26200
"522 Shop and stall salespersons and demonstrators","50-54 years","men",18700,19000,20400,21500,23200,25900,26800,25100,28900,30300,31200,31100,32800,34000
"522 Shop and stall salespersons and demonstrators","50-54 years","women",18500,16200,23100,18600,22000,23300,23700,25600,21700,24900,24500,26600,25600,26800
"522 Shop and stall salespersons and demonstrators","55-59 years","men",18900,19500,19200,23300,23900,27300,26000,27900,30400,30200,27900,29900,31800,33800
"522 Shop and stall salespersons and demonstrators","55-59 years","women",16600,16100,17000,17300,18800,21100,23000,24400,24100,24700,25600,25000,25100,26000
"522 Shop and stall salespersons and demonstrators","60-64 years","men",..,..,20800,20900,22400,27000,26800,26200,29600,31900,30800,32500,30500,32900
"522 Shop and stall salespersons and demonstrators","60-64 years","women",19200,18800,18300,21300,21100,21800,26300,22200,21400,23500,24500,26200,23800,23700
"611 Market gardeners and crop growers","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"611 Market gardeners and crop growers","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
