"occuptional  (SSYK 2012)","age","sex","2014","2015","2016","2017","2018"
"321 Medical and pharmaceutical technicians","40-44 years","men",36400,37600,38000,39100,40400
"321 Medical and pharmaceutical technicians","40-44 years","women",32200,33200,33900,34500,36000
"321 Medical and pharmaceutical technicians","45-49 years","men",34200,39800,36200,39100,38900
"321 Medical and pharmaceutical technicians","45-49 years","women",32700,33500,34200,34800,35900
"321 Medical and pharmaceutical technicians","50-54 years","men",34700,..,37100,38200,39400
"321 Medical and pharmaceutical technicians","50-54 years","women",31200,33400,34000,34800,36600
"321 Medical and pharmaceutical technicians","55-59 years","men",33200,36700,37600,39500,38400
"321 Medical and pharmaceutical technicians","55-59 years","women",31300,31900,33800,34500,35900
"321 Medical and pharmaceutical technicians","60-64 years","men",31200,34400,36600,37300,39500
"321 Medical and pharmaceutical technicians","60-64 years","women",32800,32100,33700,34600,35900
"321 Medical and pharmaceutical technicians","65-66 years","men",..,..,..,..,..
"321 Medical and pharmaceutical technicians","65-66 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","18-24 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","18-24 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","25-29 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","25-29 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","30-34 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","30-34 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","35-39 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","35-39 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","40-44 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","40-44 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","45-49 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","45-49 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","50-54 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","50-54 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","55-59 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","55-59 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","60-64 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","60-64 years","women",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","65-66 years","men",..,..,..,..,..
"323 Complementary medicine therapists and associate professionals","65-66 years","women",..,..,..,..,..
"324 Veterinary assistants","18-24 years","men",..,..,..,..,..
"324 Veterinary assistants","18-24 years","women",21400,21800,22700,25700,23700
"324 Veterinary assistants","25-29 years","men",..,..,..,..,..
"324 Veterinary assistants","25-29 years","women",24600,25400,24500,28000,26100
"324 Veterinary assistants","30-34 years","men",..,..,..,..,..
"324 Veterinary assistants","30-34 years","women",25900,26800,27300,29300,28400
"324 Veterinary assistants","35-39 years","men",..,..,..,..,..
"324 Veterinary assistants","35-39 years","women",26600,26400,27700,30100,28800
"324 Veterinary assistants","40-44 years","men",..,..,..,..,..
"324 Veterinary assistants","40-44 years","women",26500,25900,27700,29800,29800
"324 Veterinary assistants","45-49 years","men",..,..,..,..,..
"324 Veterinary assistants","45-49 years","women",..,..,..,..,29800
"324 Veterinary assistants","50-54 years","men",..,..,..,..,..
"324 Veterinary assistants","50-54 years","women",..,..,..,..,..
"324 Veterinary assistants","55-59 years","men",..,..,..,..,..
"324 Veterinary assistants","55-59 years","women",..,..,..,..,..
"324 Veterinary assistants","60-64 years","men",..,..,..,..,..
"324 Veterinary assistants","60-64 years","women",..,..,..,..,..
"324 Veterinary assistants","65-66 years","men",..,..,..,..,..
"324 Veterinary assistants","65-66 years","women",..,..,..,..,..
"325 Dental hygienists","18-24 years","men",..,..,..,..,..
"325 Dental hygienists","18-24 years","women",..,..,..,..,..
"325 Dental hygienists","25-29 years","men",..,..,..,..,..
"325 Dental hygienists","25-29 years","women",25200,26300,27000,27300,28500
"325 Dental hygienists","30-34 years","men",..,..,..,..,..
"325 Dental hygienists","30-34 years","women",26900,27400,29500,28600,29200
"325 Dental hygienists","35-39 years","men",..,..,..,..,..
"325 Dental hygienists","35-39 years","women",27700,29500,29600,29800,32400
"325 Dental hygienists","40-44 years","men",..,..,..,..,..
"325 Dental hygienists","40-44 years","women",28400,29300,29800,33200,33200
"325 Dental hygienists","45-49 years","men",..,..,..,..,..
"325 Dental hygienists","45-49 years","women",29800,32500,31600,32800,34700
"325 Dental hygienists","50-54 years","men",..,..,..,..,..
"325 Dental hygienists","50-54 years","women",31000,31700,33400,32900,34000
"325 Dental hygienists","55-59 years","men",..,..,..,..,..
"325 Dental hygienists","55-59 years","women",32500,31900,29800,33700,34600
"325 Dental hygienists","60-64 years","men",..,..,..,..,..
"325 Dental hygienists","60-64 years","women",31200,32400,32700,33600,36200
"325 Dental hygienists","65-66 years","men",..,..,..,..,..
"325 Dental hygienists","65-66 years","women",..,..,..,..,..
"331 Financial and accounting associate professionals","18-24 years","men",22700,24900,25900,25400,26600
"331 Financial and accounting associate professionals","18-24 years","women",22100,23300,24500,25000,25900
"331 Financial and accounting associate professionals","25-29 years","men",30500,29700,30400,31300,32200
"331 Financial and accounting associate professionals","25-29 years","women",28300,28300,28800,29100,30000
"331 Financial and accounting associate professionals","30-34 years","men",39600,41100,40400,39300,40100
"331 Financial and accounting associate professionals","30-34 years","women",31900,33500,33000,33700,34700
"331 Financial and accounting associate professionals","35-39 years","men",48100,48900,49700,47500,48700
"331 Financial and accounting associate professionals","35-39 years","women",33300,35200,34600,36200,37000
"331 Financial and accounting associate professionals","40-44 years","men",50800,52900,56000,51400,51700
"331 Financial and accounting associate professionals","40-44 years","women",35800,37100,37300,38300,37100
"331 Financial and accounting associate professionals","45-49 years","men",46200,52300,54200,48300,54900
"331 Financial and accounting associate professionals","45-49 years","women",35300,36100,36800,37700,39300
"331 Financial and accounting associate professionals","50-54 years","men",46600,49700,48600,50000,54900
"331 Financial and accounting associate professionals","50-54 years","women",35300,35900,35700,36200,40000
"331 Financial and accounting associate professionals","55-59 years","men",43400,48200,47500,47000,47700
"331 Financial and accounting associate professionals","55-59 years","women",34500,33900,35600,37300,37800
"331 Financial and accounting associate professionals","60-64 years","men",40600,43000,43900,44200,45800
"331 Financial and accounting associate professionals","60-64 years","women",32400,33600,34000,37400,38300
"331 Financial and accounting associate professionals","65-66 years","men",..,..,..,..,..
"331 Financial and accounting associate professionals","65-66 years","women",32500,..,..,..,..
"332 Insurance advisers, sales and purchasing agents","18-24 years","men",27400,27500,27900,26500,27500
"332 Insurance advisers, sales and purchasing agents","18-24 years","women",25200,24800,24700,25200,25600
"332 Insurance advisers, sales and purchasing agents","25-29 years","men",31100,33000,33800,32200,34700
"332 Insurance advisers, sales and purchasing agents","25-29 years","women",28800,29000,29900,29200,31200
"332 Insurance advisers, sales and purchasing agents","30-34 years","men",36300,37300,39200,38900,39800
"332 Insurance advisers, sales and purchasing agents","30-34 years","women",33600,33900,35200,34600,34800
"332 Insurance advisers, sales and purchasing agents","35-39 years","men",40600,40700,41400,42400,43400
"332 Insurance advisers, sales and purchasing agents","35-39 years","women",35200,35600,35400,37900,39300
"332 Insurance advisers, sales and purchasing agents","40-44 years","men",42900,43900,47400,46700,46800
"332 Insurance advisers, sales and purchasing agents","40-44 years","women",36900,37900,39100,39100,40800
"332 Insurance advisers, sales and purchasing agents","45-49 years","men",41900,43200,47000,47500,46700
"332 Insurance advisers, sales and purchasing agents","45-49 years","women",40000,40100,40900,40500,41600
"332 Insurance advisers, sales and purchasing agents","50-54 years","men",42700,43300,43600,46900,47400
"332 Insurance advisers, sales and purchasing agents","50-54 years","women",37100,39500,40900,40200,41400
"332 Insurance advisers, sales and purchasing agents","55-59 years","men",43500,43700,46300,46800,50700
"332 Insurance advisers, sales and purchasing agents","55-59 years","women",37100,38900,38000,40800,45000
"332 Insurance advisers, sales and purchasing agents","60-64 years","men",42100,43300,44000,45700,44000
"332 Insurance advisers, sales and purchasing agents","60-64 years","women",34700,37800,37100,37500,37700
"332 Insurance advisers, sales and purchasing agents","65-66 years","men",39200,43400,39800,..,42100
"332 Insurance advisers, sales and purchasing agents","65-66 years","women",..,..,..,..,..
"333 Business services agents","18-24 years","men",..,..,..,25700,26700
"333 Business services agents","18-24 years","women",24200,28500,26900,27200,24600
"333 Business services agents","25-29 years","men",..,31300,29900,31000,32200
"333 Business services agents","25-29 years","women",28600,27700,31000,28500,31300
"333 Business services agents","30-34 years","men",..,37400,38800,39100,39200
"333 Business services agents","30-34 years","women",31200,34000,32200,33200,37300
"333 Business services agents","35-39 years","men",35100,35100,38800,..,38600
"333 Business services agents","35-39 years","women",33000,34900,34200,34700,32700
"333 Business services agents","40-44 years","men",..,37000,36900,42500,43200
"333 Business services agents","40-44 years","women",34200,34100,34700,38400,36200
"333 Business services agents","45-49 years","men",37500,38400,39100,44800,39400
"333 Business services agents","45-49 years","women",34000,33400,35200,39400,33100
"333 Business services agents","50-54 years","men",36000,38100,40400,..,48500
"333 Business services agents","50-54 years","women",34700,36200,37000,36700,40700
"333 Business services agents","55-59 years","men",36100,35900,39100,38500,43600
"333 Business services agents","55-59 years","women",33500,32300,35800,37000,34400
"333 Business services agents","60-64 years","men",38600,39200,34200,44100,41800
"333 Business services agents","60-64 years","women",33300,35000,35300,37000,37200
"333 Business services agents","65-66 years","men",..,..,..,..,..
"333 Business services agents","65-66 years","women",..,..,..,..,..
"334 Administrative and specialized secretaries","18-24 years","men",..,27800,25300,26300,..
"334 Administrative and specialized secretaries","18-24 years","women",..,..,26600,26500,25200
"334 Administrative and specialized secretaries","25-29 years","men",..,29400,30500,31900,31300
"334 Administrative and specialized secretaries","25-29 years","women",27800,28400,31800,30100,30000
"334 Administrative and specialized secretaries","30-34 years","men",37600,35400,37900,37700,39300
"334 Administrative and specialized secretaries","30-34 years","women",31800,32600,34100,32500,36200
"334 Administrative and specialized secretaries","35-39 years","men",36800,38300,39700,41700,46900
"334 Administrative and specialized secretaries","35-39 years","women",33400,34700,34500,37300,40400
"334 Administrative and specialized secretaries","40-44 years","men",42000,43500,44100,45500,47100
"334 Administrative and specialized secretaries","40-44 years","women",33200,35100,37200,39500,40600
"334 Administrative and specialized secretaries","45-49 years","men",34700,39100,39000,43000,46700
"334 Administrative and specialized secretaries","45-49 years","women",33600,38100,37900,38900,39900
"334 Administrative and specialized secretaries","50-54 years","men",..,35700,38700,43200,48500
"334 Administrative and specialized secretaries","50-54 years","women",34600,33500,36200,36300,42000
"334 Administrative and specialized secretaries","55-59 years","men",..,42700,37200,38800,50100
"334 Administrative and specialized secretaries","55-59 years","women",33900,33900,35200,37500,41300
"334 Administrative and specialized secretaries","60-64 years","men",..,..,..,..,..
"334 Administrative and specialized secretaries","60-64 years","women",..,33000,35200,36300,39900
"334 Administrative and specialized secretaries","65-66 years","men",..,..,..,..,..
"334 Administrative and specialized secretaries","65-66 years","women",..,..,..,..,..
"335 Tax and related government associate professionals","18-24 years","men",24800,25800,25200,26000,27200
"335 Tax and related government associate professionals","18-24 years","women",..,..,..,..,..
"335 Tax and related government associate professionals","25-29 years","men",28500,28900,28600,30100,30600
"335 Tax and related government associate professionals","25-29 years","women",29000,29700,28200,30300,30600
"335 Tax and related government associate professionals","30-34 years","men",30900,32100,31900,32900,33600
"335 Tax and related government associate professionals","30-34 years","women",32200,34200,35200,35800,36500
"335 Tax and related government associate professionals","35-39 years","men",33500,34800,35500,36100,37900
"335 Tax and related government associate professionals","35-39 years","women",36900,37400,37600,40100,42900
"335 Tax and related government associate professionals","40-44 years","men",35700,37900,37000,37400,39600
"335 Tax and related government associate professionals","40-44 years","women",36500,38800,40500,45200,44500
"335 Tax and related government associate professionals","45-49 years","men",36700,38100,38300,39500,40500
"335 Tax and related government associate professionals","45-49 years","women",36500,40200,36400,43200,43700
"335 Tax and related government associate professionals","50-54 years","men",38100,37600,36900,40400,42400
"335 Tax and related government associate professionals","50-54 years","women",35400,39800,40800,41500,39800
"335 Tax and related government associate professionals","55-59 years","men",39800,40000,41000,42300,42100
"335 Tax and related government associate professionals","55-59 years","women",33500,38100,38000,40300,41600
"335 Tax and related government associate professionals","60-64 years","men",39300,39900,40000,40200,42900
"335 Tax and related government associate professionals","60-64 years","women",37500,..,..,..,39400
"335 Tax and related government associate professionals","65-66 years","men",..,..,..,..,..
"335 Tax and related government associate professionals","65-66 years","women",..,..,..,..,..
"336 Police officers ","18-24 years","men",..,..,..,..,..
"336 Police officers ","18-24 years","women",..,..,..,..,..
"336 Police officers ","25-29 years","men",..,..,..,..,..
"336 Police officers ","25-29 years","women",..,..,..,..,..
"336 Police officers ","30-34 years","men",..,..,..,..,..
"336 Police officers ","30-34 years","women",..,..,..,..,..
"336 Police officers ","35-39 years","men",..,..,..,..,..
"336 Police officers ","35-39 years","women",..,..,..,..,..
"336 Police officers ","40-44 years","men",..,..,..,..,..
"336 Police officers ","40-44 years","women",..,..,..,..,..
"336 Police officers ","45-49 years","men",..,..,..,..,..
"336 Police officers ","45-49 years","women",..,..,..,..,..
"336 Police officers ","50-54 years","men",..,..,..,..,..
"336 Police officers ","50-54 years","women",..,..,..,..,..
"336 Police officers ","55-59 years","men",..,..,..,..,..
"336 Police officers ","55-59 years","women",..,..,..,..,..
"336 Police officers ","60-64 years","men",..,..,..,..,..
"336 Police officers ","60-64 years","women",..,..,..,..,..
"336 Police officers ","65-66 years","men",..,..,..,..,..
"336 Police officers ","65-66 years","women",..,..,..,..,..
"341 Social work and religious associate professionals","18-24 years","men",..,..,..,..,..
"341 Social work and religious associate professionals","18-24 years","women",..,..,..,..,..
"341 Social work and religious associate professionals","25-29 years","men",26200,27200,27600,30000,28500
"341 Social work and religious associate professionals","25-29 years","women",27200,26800,26700,27700,29100
"341 Social work and religious associate professionals","30-34 years","men",25300,27200,27500,27500,28900
"341 Social work and religious associate professionals","30-34 years","women",27300,26900,27100,29200,30100
"341 Social work and religious associate professionals","35-39 years","men",25700,26900,..,27700,30300
"341 Social work and religious associate professionals","35-39 years","women",31400,27000,31300,29800,30300
"341 Social work and religious associate professionals","40-44 years","men",26900,28300,..,..,30800
"341 Social work and religious associate professionals","40-44 years","women",27700,27000,26900,29200,30600
"341 Social work and religious associate professionals","45-49 years","men",..,..,..,..,..
"341 Social work and religious associate professionals","45-49 years","women",28600,28100,28100,30000,31300
"341 Social work and religious associate professionals","50-54 years","men",..,..,..,..,..
"341 Social work and religious associate professionals","50-54 years","women",31200,29700,28800,29600,30900
"341 Social work and religious associate professionals","55-59 years","men",..,..,..,..,..
"341 Social work and religious associate professionals","55-59 years","women",..,28800,..,..,29600
"341 Social work and religious associate professionals","60-64 years","men",..,..,..,..,..
"341 Social work and religious associate professionals","60-64 years","women",..,..,..,..,..
"341 Social work and religious associate professionals","65-66 years","men",..,..,..,..,..
"341 Social work and religious associate professionals","65-66 years","women",..,..,..,..,..
"342 Athletes, fitness instructors and recreational workers","18-24 years","men",23800,24800,25600,27400,25100
"342 Athletes, fitness instructors and recreational workers","18-24 years","women",22200,22100,21900,23000,20500
"342 Athletes, fitness instructors and recreational workers","25-29 years","men",31500,32200,34100,36600,32000
"342 Athletes, fitness instructors and recreational workers","25-29 years","women",26100,26800,27600,27200,26300
"342 Athletes, fitness instructors and recreational workers","30-34 years","men",32900,31700,32200,33300,32500
"342 Athletes, fitness instructors and recreational workers","30-34 years","women",28700,29900,30100,30500,30600
"342 Athletes, fitness instructors and recreational workers","35-39 years","men",32900,33500,33200,37700,37500
"342 Athletes, fitness instructors and recreational workers","35-39 years","women",28900,30500,32000,33600,30400
"342 Athletes, fitness instructors and recreational workers","40-44 years","men",30500,32600,33400,34100,32700
"342 Athletes, fitness instructors and recreational workers","40-44 years","women",29400,31800,31300,32100,32800
"342 Athletes, fitness instructors and recreational workers","45-49 years","men",30100,32900,33700,34500,34500
"342 Athletes, fitness instructors and recreational workers","45-49 years","women",31100,31100,31000,31900,31900
"342 Athletes, fitness instructors and recreational workers","50-54 years","men",30000,27400,32600,35900,36800
"342 Athletes, fitness instructors and recreational workers","50-54 years","women",30200,29200,29900,31500,31300
"342 Athletes, fitness instructors and recreational workers","55-59 years","men",..,..,..,..,..
"342 Athletes, fitness instructors and recreational workers","55-59 years","women",28900,28900,28900,29500,33100
"342 Athletes, fitness instructors and recreational workers","60-64 years","men",..,..,..,..,..
"342 Athletes, fitness instructors and recreational workers","60-64 years","women",27800,27900,28400,..,..
"342 Athletes, fitness instructors and recreational workers","65-66 years","men",..,..,..,..,..
"342 Athletes, fitness instructors and recreational workers","65-66 years","women",..,..,..,..,..
"343 Photographers, interior decorators and entertainers","18-24 years","men",..,..,..,..,..
"343 Photographers, interior decorators and entertainers","18-24 years","women",22300,23900,22400,24400,23200
"343 Photographers, interior decorators and entertainers","25-29 years","men",26400,..,..,..,..
"343 Photographers, interior decorators and entertainers","25-29 years","women",26900,26900,28600,28600,28500
"343 Photographers, interior decorators and entertainers","30-34 years","men",30500,..,..,..,..
"343 Photographers, interior decorators and entertainers","30-34 years","women",28300,29000,30500,29900,32600
"343 Photographers, interior decorators and entertainers","35-39 years","men",32100,..,..,31900,..
"343 Photographers, interior decorators and entertainers","35-39 years","women",30500,31100,32500,33700,41400
"343 Photographers, interior decorators and entertainers","40-44 years","men",33300,32800,36500,..,..
"343 Photographers, interior decorators and entertainers","40-44 years","women",31800,32600,35200,34500,39800
"343 Photographers, interior decorators and entertainers","45-49 years","men",33100,36500,33900,..,..
"343 Photographers, interior decorators and entertainers","45-49 years","women",31900,33300,34300,33100,34500
"343 Photographers, interior decorators and entertainers","50-54 years","men",34600,..,30100,..,..
"343 Photographers, interior decorators and entertainers","50-54 years","women",29800,32300,34000,32400,36500
"343 Photographers, interior decorators and entertainers","55-59 years","men",30600,..,..,..,..
"343 Photographers, interior decorators and entertainers","55-59 years","women",..,30300,32000,32800,35900
"343 Photographers, interior decorators and entertainers","60-64 years","men",..,28800,..,..,..
"343 Photographers, interior decorators and entertainers","60-64 years","women",..,..,..,..,..
"343 Photographers, interior decorators and entertainers","65-66 years","men",..,..,..,..,..
"343 Photographers, interior decorators and entertainers","65-66 years","women",..,..,..,..,..
"344 Driving instructors and other instructors","18-24 years","men",..,..,..,..,..
"344 Driving instructors and other instructors","18-24 years","women",..,..,..,..,..
"344 Driving instructors and other instructors","25-29 years","men",..,..,..,..,..
"344 Driving instructors and other instructors","25-29 years","women",..,..,..,..,..
"344 Driving instructors and other instructors","30-34 years","men",..,..,..,..,..
"344 Driving instructors and other instructors","30-34 years","women",..,..,..,..,..
"344 Driving instructors and other instructors","35-39 years","men",..,..,..,..,..
"344 Driving instructors and other instructors","35-39 years","women",..,..,..,31800,..
"344 Driving instructors and other instructors","40-44 years","men",..,..,..,..,..
"344 Driving instructors and other instructors","40-44 years","women",29300,..,..,..,..
"344 Driving instructors and other instructors","45-49 years","men",..,31300,..,33400,..
"344 Driving instructors and other instructors","45-49 years","women",31300,31400,..,..,..
"344 Driving instructors and other instructors","50-54 years","men",29100,..,33000,..,..
"344 Driving instructors and other instructors","50-54 years","women",32000,..,..,..,..
"344 Driving instructors and other instructors","55-59 years","men",29600,..,..,34100,..
"344 Driving instructors and other instructors","55-59 years","women",..,..,..,..,..
"344 Driving instructors and other instructors","60-64 years","men",..,..,..,35600,..
"344 Driving instructors and other instructors","60-64 years","women",..,..,..,..,..
"344 Driving instructors and other instructors","65-66 years","men",..,..,..,..,..
"344 Driving instructors and other instructors","65-66 years","women",..,..,..,..,..
"345 Culinary associate professionals","18-24 years","men",..,..,..,..,..
"345 Culinary associate professionals","18-24 years","women",..,..,..,..,..
"345 Culinary associate professionals","25-29 years","men",..,..,..,..,..
"345 Culinary associate professionals","25-29 years","women",..,..,..,..,..
"345 Culinary associate professionals","30-34 years","men",..,..,..,..,..
"345 Culinary associate professionals","30-34 years","women",..,..,..,..,..
"345 Culinary associate professionals","35-39 years","men",..,..,..,..,..
"345 Culinary associate professionals","35-39 years","women",..,..,..,..,..
"345 Culinary associate professionals","40-44 years","men",..,..,..,..,..
"345 Culinary associate professionals","40-44 years","women",..,..,..,..,..
"345 Culinary associate professionals","45-49 years","men",..,..,..,..,..
"345 Culinary associate professionals","45-49 years","women",24100,25400,26500,..,..
"345 Culinary associate professionals","50-54 years","men",..,..,..,..,..
"345 Culinary associate professionals","50-54 years","women",24800,25800,26200,..,..
"345 Culinary associate professionals","55-59 years","men",..,..,..,..,..
"345 Culinary associate professionals","55-59 years","women",25200,25900,26800,..,..
"345 Culinary associate professionals","60-64 years","men",..,..,..,..,..
"345 Culinary associate professionals","60-64 years","women",25700,26300,25900,..,..
"345 Culinary associate professionals","65-66 years","men",..,..,..,..,..
"345 Culinary associate professionals","65-66 years","women",..,..,..,..,..
"351 ICT operations and user support technicians","18-24 years","men",23200,24300,24000,24900,25200
"351 ICT operations and user support technicians","18-24 years","women",22200,24200,24100,23600,26000
"351 ICT operations and user support technicians","25-29 years","men",30500,28800,28100,31000,31400
"351 ICT operations and user support technicians","25-29 years","women",25300,27200,27600,28700,30200
"351 ICT operations and user support technicians","30-34 years","men",31900,33300,33500,34900,35000
"351 ICT operations and user support technicians","30-34 years","women",30700,30500,31600,30200,33000
"351 ICT operations and user support technicians","35-39 years","men",36800,37300,36600,37300,37900
"351 ICT operations and user support technicians","35-39 years","women",34000,35100,34200,35500,36800
"351 ICT operations and user support technicians","40-44 years","men",39600,38800,38900,41000,41300
"351 ICT operations and user support technicians","40-44 years","women",35900,36200,36800,36600,39000
"351 ICT operations and user support technicians","45-49 years","men",38700,39100,39200,40200,42000
"351 ICT operations and user support technicians","45-49 years","women",36900,37200,38500,38200,38600
"351 ICT operations and user support technicians","50-54 years","men",39700,40700,42000,43000,43000
"351 ICT operations and user support technicians","50-54 years","women",36300,37600,39300,38500,40300
"351 ICT operations and user support technicians","55-59 years","men",..,39700,41300,41300,43100
"351 ICT operations and user support technicians","55-59 years","women",35000,36100,37800,38600,39200
"351 ICT operations and user support technicians","60-64 years","men",36900,37800,38300,39500,41100
"351 ICT operations and user support technicians","60-64 years","women",35500,35600,37200,33300,39100
"351 ICT operations and user support technicians","65-66 years","men",..,..,..,..,..
"351 ICT operations and user support technicians","65-66 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","18-24 years","men",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","18-24 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","25-29 years","men",..,..,..,25500,28300
"352 Broadcasting and audio-visual technicians","25-29 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","30-34 years","men",..,30800,33500,30300,30400
"352 Broadcasting and audio-visual technicians","30-34 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","35-39 years","men",32300,28500,34400,29800,33500
"352 Broadcasting and audio-visual technicians","35-39 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","40-44 years","men",31000,31200,..,28000,27900
"352 Broadcasting and audio-visual technicians","40-44 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","45-49 years","men",34000,33200,32700,31900,33600
"352 Broadcasting and audio-visual technicians","45-49 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","50-54 years","men",35000,33100,34400,34800,29300
"352 Broadcasting and audio-visual technicians","50-54 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","55-59 years","men",31500,32000,34400,31900,32700
"352 Broadcasting and audio-visual technicians","55-59 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","60-64 years","men",..,34800,36400,..,..
"352 Broadcasting and audio-visual technicians","60-64 years","women",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","65-66 years","men",..,..,..,..,..
"352 Broadcasting and audio-visual technicians","65-66 years","women",..,..,..,..,..
"411 Office assistants and other secretaries","18-24 years","men",23000,22200,22300,23300,23900
"411 Office assistants and other secretaries","18-24 years","women",21900,21600,22700,23900,24200
"411 Office assistants and other secretaries","25-29 years","men",25400,27600,27400,28300,29100
"411 Office assistants and other secretaries","25-29 years","women",26000,25500,26800,27500,28000
"411 Office assistants and other secretaries","30-34 years","men",29500,30700,31000,29700,30800
"411 Office assistants and other secretaries","30-34 years","women",27500,28000,29700,29800,31100
"411 Office assistants and other secretaries","35-39 years","men",30900,32300,33600,33500,33000
"411 Office assistants and other secretaries","35-39 years","women",29100,29800,29800,29800,30800
"411 Office assistants and other secretaries","40-44 years","men",33100,32000,33400,32900,34400
"411 Office assistants and other secretaries","40-44 years","women",28600,29700,30000,30900,31700
"411 Office assistants and other secretaries","45-49 years","men",29400,32200,33100,30600,35100
"411 Office assistants and other secretaries","45-49 years","women",29300,29900,30500,31900,32100
"411 Office assistants and other secretaries","50-54 years","men",33400,32300,32100,33700,35300
"411 Office assistants and other secretaries","50-54 years","women",29200,29600,30700,31200,31600
"411 Office assistants and other secretaries","55-59 years","men",30000,32400,28400,32700,33400
"411 Office assistants and other secretaries","55-59 years","women",28700,29100,29200,31900,31300
"411 Office assistants and other secretaries","60-64 years","men",31700,32200,28700,29600,35500
"411 Office assistants and other secretaries","60-64 years","women",28900,29700,29200,30100,32000
"411 Office assistants and other secretaries","65-66 years","men",..,..,..,..,..
"411 Office assistants and other secretaries","65-66 years","women",..,30400,31400,29700,30900
"421 Croupiers, debt collectors and related workers","18-24 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","18-24 years","women",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","25-29 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","25-29 years","women",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","30-34 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","30-34 years","women",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","35-39 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","35-39 years","women",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","40-44 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","40-44 years","women",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","45-49 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","45-49 years","women",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","50-54 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","50-54 years","women",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","55-59 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","55-59 years","women",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","60-64 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","60-64 years","women",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","65-66 years","men",..,..,..,..,..
"421 Croupiers, debt collectors and related workers","65-66 years","women",..,..,..,..,..
"422 Client information clerks","18-24 years","men",21600,21000,21900,22500,22900
"422 Client information clerks","18-24 years","women",20900,21300,21400,22400,23000
"422 Client information clerks","25-29 years","men",23900,23800,24400,24800,25700
"422 Client information clerks","25-29 years","women",23400,23400,23700,24600,25100
"422 Client information clerks","30-34 years","men",26100,25500,26300,26800,27500
"422 Client information clerks","30-34 years","women",24600,25300,26200,26500,26200
"422 Client information clerks","35-39 years","men",27200,28200,27300,27800,28700
"422 Client information clerks","35-39 years","women",26200,25700,26500,26800,27300
"422 Client information clerks","40-44 years","men",29700,28800,27900,30000,32200
"422 Client information clerks","40-44 years","women",25900,25600,26500,27200,28000
"422 Client information clerks","45-49 years","men",29600,29800,27600,29800,31100
"422 Client information clerks","45-49 years","women",27100,26400,27000,27600,28600
"422 Client information clerks","50-54 years","men",30700,30000,29200,29500,30900
"422 Client information clerks","50-54 years","women",26300,27500,28500,29400,28700
